Date,Shares
2020-12-31,720
2020-09-30,719
2020-06-30,718
2020-03-31,720
2019-12-31,720
2019-09-30,736
2019-06-30,748
2019-03-31,671
2018-12-31,685
2018-09-30,679
2018-06-30,696
2018-03-31,704
2017-12-31,741
2017-09-30,733
2017-06-30,752
2017-03-31,761
2016-12-31,764
2016-09-30,758
2016-06-30,765
2016-03-31,778
2015-12-31,808
2015-09-30,805
2015-06-30,813
2015-03-31,819
2014-12-31,843
2014-09-30,838
2014-06-30,848
2014-03-31,858
2013-12-31,895
2013-09-30,888
2013-06-30,901
2013-03-31,913
2012-12-31,946
2012-09-30,945
2012-06-30,955
2012-03-31,957
2011-12-31,950
2011-09-30,955
2011-06-30,955
2011-03-31,895
2010-12-31,799
2010-09-30,797
2010-06-30,802
2010-03-31,790
2009-12-31,726
2009-09-30,790
2009-06-30,718
2009-03-31,572
2008-12-31,553
2008-09-30,572
2008-06-30,540
2008-03-31,530
2007-12-31,540
2007-09-30,532
2007-06-30,543
2007-03-31,554
2006-12-31,557
2006-09-30,558
2006-06-30,557
2006-03-31,557
2005-12-31,558
2005-09-30,558
2005-06-30,558
2005-03-31,562
