Date,EPS
2020-12-31,$0.32
2020-09-30,$0.21
2020-06-30,$0.16
2020-03-31,$0.18
2019-12-31,$0.47
2019-09-30,$0.49
2019-06-30,$0.43
2019-03-31,$0.43
2018-12-31,$0.38
2018-09-30,$0.52
2018-06-30,$0.29
2018-03-31,$0.33
2017-12-31,$0.02
2017-09-30,$0.37
2017-06-30,$0.34
2017-03-31,$0.23
2016-12-31,$0.25
2016-09-30,$0.35
2016-06-30,$0.31
2016-03-31,$0.23
2015-12-31,$0.20
2015-09-30,$0.30
2015-06-30,$0.29
2015-03-31,$0.26
2014-12-31,$0.18
2014-09-30,$0.25
2014-06-30,$0.25
2014-03-31,$0.24
2013-12-31,$0.25
2013-09-30,$0.39
2013-06-30,$0.22
2013-03-31,$0.20
2012-12-31,$0.17
2012-09-30,$-0.65
2012-06-30,$0.09
2012-03-31,$0.11
2011-12-31,$0.05
2011-09-30,$0.09
2011-06-30,$0.11
2011-03-31,$0.10
2010-12-31,$-0.42
2010-09-30,$0.00
2010-06-30,$0.07
2010-03-31,$0.08
2009-12-31,$-0.80
2009-09-30,$0.02
2009-06-30,$0.00
2009-03-31,$0.07
2008-12-31,$-0.56
2008-09-30,$0.50
2008-06-30,$0.55
2008-03-31,$0.51
2007-12-31,$-0.10
2007-09-30,$0.55
2007-06-30,$0.59
2007-03-31,$0.58
2006-12-31,$0.63
2006-09-30,$0.62
2006-06-30,$0.57
2006-03-31,$0.55
2005-12-31,$0.49
2005-09-30,$0.59
2005-06-30,$0.58
2005-03-31,$0.55
