First Midwest Bancorp Price/Book Ratio Historical Data,First Midwest Bancorp Price/Book Ratio Historical Data,First Midwest Bancorp Price/Book Ratio Historical Data,First Midwest Bancorp Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,21.97,,0.93
2020-12-31,15.82,$23.54,0.67
2020-09-30,10.62,$23.31,0.46
2020-06-30,12.97,$23.24,0.56
2020-03-31,12.73,$21.33,0.6
2019-12-31,21.95,$21.56,1.02
2019-09-30,18.43,$21.27,0.87
2019-06-30,19.23,$20.80,0.92
2019-03-31,19.09,$20.20,0.94
2018-12-31,18.37,$19.32,0.95
2018-09-30,24.51,$18.61,1.32
2018-06-30,23.38,$18.28,1.28
2018-03-31,22.48,$18.13,1.24
2017-12-31,21.85,$18.16,1.2
2017-09-30,21.23,$18.16,1.17
2017-06-30,21.04,$17.88,1.18
2017-03-31,21.28,$17.56,1.21
2016-12-31,22.58,$15.46,1.46
2016-09-30,17.27,$15.61,1.11
2016-06-30,15.59,$15.38,1.01
2016-03-31,15.92,$15.06,1.06
2015-12-31,16.2,$14.70,1.1
2015-09-30,15.34,$14.72,1.04
2015-06-30,16.51,$14.43,1.14
2015-03-31,15.04,$14.31,1.05
2014-12-31,14.74,$14.17,1.04
2014-09-30,13.8,$13.94,0.99
2014-06-30,14.53,$13.81,1.05
2014-03-31,14.51,$13.56,1.07
2013-12-31,14.83,$13.34,1.11
2013-09-30,12.71,$13.14,0.97
2013-06-30,11.53,$12.98,0.89
2013-03-31,11.13,$12.70,0.88
2012-12-31,10.48,$12.57,0.83
2012-09-30,10.51,$12.47,0.84
2012-06-30,9.18,$13.07,0.7
2012-03-31,10.0,$12.99,0.77
2011-12-31,8.45,$12.93,0.65
2011-09-30,6.1,$15.47,0.39
2011-06-30,10.23,$15.33,0.67
2011-03-31,9.81,$15.08,0.65
2010-12-31,9.57,$15.01,0.64
2010-09-30,9.57,$15.66,0.61
2010-06-30,10.09,$15.60,0.65
2010-03-31,11.23,$15.45,0.73
2009-12-31,9.02,$17.18,0.52
2009-09-30,9.32,$17.95,0.52
2009-06-30,6.04,$18.15,0.33
2009-03-31,7.09,$18.58,0.38
2008-12-31,16.23,$18.68,0.87
2008-09-30,19.48,$14.80,1.32
2008-06-30,14.81,$14.90,0.99
2008-03-31,21.71,$15.20,1.43
2007-12-31,23.68,$14.94,1.58
2007-09-30,26.16,$14.94,1.75
2007-06-30,26.97,$14.97,1.8
2007-03-31,27.68,$15.16,1.83
2006-12-31,28.9,$15.01,1.93
2006-09-30,28.09,$14.92,1.88
2006-06-30,27.3,$13.92,1.96
2006-03-31,26.72,$13.81,1.93
