First Midwest Bancorp ROA - Return on Assets Historical Data,First Midwest Bancorp ROA - Return on Assets Historical Data,First Midwest Bancorp ROA - Return on Assets Historical Data,First Midwest Bancorp ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.10B,$20.84B,0.47%
2020-09-30,$0.11B,$21.09B,0.56%
2020-06-30,$0.14B,$21.25B,0.74%
2020-03-31,$0.17B,$19.75B,0.94%
2019-12-31,$0.20B,$17.85B,1.15%
2019-09-30,$0.19B,$18.01B,1.13%
2019-06-30,$0.19B,$17.46B,1.17%
2019-03-31,$0.17B,$15.82B,1.11%
2018-12-31,$0.16B,$15.51B,1.05%
2018-09-30,$0.12B,$14.96B,0.80%
2018-06-30,$0.10B,$14.82B,0.71%
2018-03-31,$0.11B,$14.38B,0.76%
2017-12-31,$0.10B,$14.08B,0.70%
2017-09-30,$0.12B,$14.27B,0.88%
2017-06-30,$0.11B,$13.97B,0.84%
2017-03-31,$0.10B,$13.77B,0.81%
2016-12-31,$0.09B,$11.42B,0.82%
2016-09-30,$0.09B,$11.58B,0.81%
2016-06-30,$0.08B,$11.00B,0.79%
2016-03-31,$0.08B,$10.73B,0.78%
2015-12-31,$0.08B,$9.73B,0.83%
2015-09-30,$0.08B,$9.94B,0.82%
2015-06-30,$0.07B,$9.86B,0.78%
2015-03-31,$0.07B,$9.50B,0.77%
2014-12-31,$0.07B,$9.45B,0.76%
2014-09-30,$0.07B,$9.10B,0.85%
2014-06-30,$0.08B,$8.31B,0.99%
2014-03-31,$0.08B,$8.33B,0.97%
2013-12-31,$0.08B,$8.25B,0.94%
2013-09-30,$0.07B,$8.52B,0.87%
2013-06-30,$-0.01B,$8.34B,-0.06%
2013-03-31,$-0.02B,$8.06B,-0.19%
2012-12-31,$-0.02B,$8.10B,-0.26%
2012-09-30,$-0.03B,$8.17B,-0.37%
2012-06-30,$0.02B,$8.10B,0.30%
2012-03-31,$0.03B,$7.99B,0.32%
2011-12-31,$0.03B,$7.97B,0.31%
2011-09-30,$-0.01B,$8.38B,-0.11%
2011-06-30,$-0.02B,$8.13B,-0.18%
2011-03-31,$-0.02B,$8.05B,-0.22%
2010-12-31,$-0.02B,$8.14B,-0.25%
2010-09-30,$-0.03B,$8.38B,-0.38%
2010-06-30,$-0.03B,$7.81B,-0.38%
2010-03-31,$-0.03B,$7.59B,-0.44%
2009-12-31,$-0.04B,$7.71B,-0.46%
2009-09-30,$-0.02B,$7.68B,-0.30%
2009-06-30,$-0.00B,$7.77B,-0.01%
2009-03-31,$0.03B,$8.25B,0.31%
2008-12-31,$0.05B,$8.53B,0.57%
2008-09-30,$0.07B,$8.25B,0.86%
2008-06-30,$0.07B,$8.31B,0.91%
2008-03-31,$0.08B,$8.32B,0.94%
2007-12-31,$0.08B,$8.09B,0.99%
2007-09-30,$0.12B,$7.88B,1.43%
2007-06-30,$0.12B,$8.06B,1.45%
2007-03-31,$0.12B,$8.24B,1.42%
2006-12-31,$0.12B,$8.44B,1.37%
2006-09-30,$0.11B,$8.60B,1.31%
2006-06-30,$0.11B,$8.69B,1.32%
2006-03-31,$0.10B,$8.72B,1.36%
2005-12-31,$0.10B,$7.21B,1.44%
