F.N.B Debt/Equity Ratio Historical Data,F.N.B Debt/Equity Ratio Historical Data,F.N.B Debt/Equity Ratio Historical Data,F.N.B Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$32.40B,$4.96B,6.53
2020-09-30,$32.49B,$4.95B,6.56
2020-06-30,$32.82B,$4.90B,6.7
2020-03-31,$30.21B,$4.84B,6.24
2019-12-31,$29.73B,$4.88B,6.09
2019-09-30,$29.51B,$4.82B,6.12
2019-06-30,$29.15B,$4.75B,6.13
2019-03-31,$29.02B,$4.68B,6.2
2018-12-31,$28.49B,$4.61B,6.18
2018-09-30,$28.09B,$4.53B,6.21
2018-06-30,$27.78B,$4.47B,6.21
2018-03-31,$27.22B,$4.43B,6.14
2017-12-31,$27.01B,$4.41B,6.13
2017-09-30,$26.69B,$4.44B,6.02
2017-06-30,$26.36B,$4.39B,6.0
2017-03-31,$25.84B,$4.36B,5.93
2016-12-31,$19.27B,$2.57B,7.5
2016-09-30,$19.01B,$2.57B,7.4
2016-06-30,$18.67B,$2.55B,7.34
2016-03-31,$17.81B,$2.52B,7.07
2015-12-31,$15.46B,$2.10B,7.38
2015-09-30,$14.74B,$2.10B,7.04
2015-06-30,$14.53B,$2.07B,7.04
2015-03-31,$14.22B,$2.06B,6.92
2014-12-31,$14.11B,$2.02B,6.98
2014-09-30,$13.75B,$2.01B,6.86
2014-06-30,$13.11B,$1.91B,6.87
2014-03-31,$12.59B,$1.89B,6.68
2013-12-31,$11.79B,$1.77B,6.64
2013-09-30,$11.31B,$1.48B,7.63
2013-06-30,$11.10B,$1.47B,7.56
2013-03-31,$10.59B,$1.41B,7.49
2012-12-31,$10.62B,$1.40B,7.58
2012-09-30,$10.59B,$1.40B,7.59
2012-06-30,$10.38B,$1.37B,7.56
2012-03-31,$10.37B,$1.36B,7.66
2011-12-31,$8.58B,$1.21B,7.09
2011-09-30,$8.74B,$1.21B,7.19
2011-06-30,$8.65B,$1.20B,7.19
2011-03-31,$8.63B,$1.13B,7.65
2010-12-31,$7.89B,$1.07B,7.4
2010-09-30,$7.93B,$1.07B,7.45
2010-06-30,$7.78B,$1.06B,7.35
2010-03-31,$7.75B,$1.05B,7.4
2009-12-31,$7.67B,$1.04B,7.35
2009-09-30,$7.54B,$1.05B,7.17
2009-06-30,$7.56B,$1.15B,6.57
2009-03-31,$7.43B,$1.03B,7.24
2008-12-31,$7.44B,$0.93B,8.03
2008-09-30,$7.49B,$0.97B,7.71
2008-06-30,$7.18B,$0.92B,7.81
2008-03-31,$5.62B,$0.54B,10.34
2007-12-31,$5.54B,$0.54B,10.18
2007-09-30,$5.58B,$0.54B,10.31
2007-06-30,$5.52B,$0.54B,10.25
2007-03-31,$5.48B,$0.54B,10.18
2006-12-31,$5.47B,$0.54B,10.18
2006-09-30,$5.52B,$0.54B,10.24
2006-06-30,$5.54B,$0.54B,10.36
2006-03-31,$5.15B,$0.48B,10.7
2005-12-31,$5.11B,$0.48B,10.72
2005-09-30,$5.24B,$0.47B,11.21
2005-06-30,$5.24B,$0.46B,11.4
2005-03-31,$5.16B,$0.45B,11.39
