F.N.B Price/Book Ratio Historical Data,F.N.B Price/Book Ratio Historical Data,F.N.B Price/Book Ratio Historical Data,F.N.B Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,12.89,,0.84
2020-12-31,9.41,$15.42,0.61
2020-09-30,6.63,$15.32,0.43
2020-06-30,7.22,$15.15,0.48
2020-03-31,6.98,$15.01,0.46
2019-12-31,11.88,$15.02,0.79
2019-09-30,10.68,$14.84,0.72
2019-06-30,10.78,$14.67,0.74
2019-03-31,9.61,$14.42,0.67
2018-12-31,8.83,$14.21,0.62
2018-09-30,11.3,$13.95,0.81
2018-06-30,11.82,$13.80,0.86
2018-03-31,11.74,$13.70,0.86
2017-12-31,11.96,$13.63,0.88
2017-09-30,12.04,$13.72,0.88
2017-06-30,12.04,$13.59,0.89
2017-03-31,12.53,$13.49,0.93
2016-12-31,13.41,$12.18,1.1
2016-09-30,10.21,$12.23,0.83
2016-06-30,10.31,$12.11,0.85
2016-03-31,10.6,$12.01,0.88
2015-12-31,10.76,$11.95,0.9
2015-09-30,10.36,$11.95,0.87
2015-06-30,11.35,$11.79,0.96
2015-03-31,10.32,$11.77,0.88
2014-12-31,10.37,$11.62,0.89
2014-09-30,9.24,$11.56,0.8
2014-06-30,9.79,$11.46,0.85
2014-03-31,10.13,$11.33,0.89
2013-12-31,9.45,$11.16,0.85
2013-09-30,9.0,$10.20,0.88
2013-06-30,8.87,$10.12,0.88
2013-03-31,8.8,$10.07,0.87
2012-12-31,7.64,$10.02,0.76
2012-09-30,7.98,$9.98,0.8
2012-06-30,7.65,$9.82,0.78
2012-03-31,8.41,$9.71,0.87
2011-12-31,7.79,$9.51,0.82
2011-09-30,5.83,$9.55,0.61
2011-06-30,6.95,$9.47,0.73
2011-03-31,7.0,$9.34,0.75
2010-12-31,6.44,$9.29,0.69
2010-09-30,5.54,$9.29,0.6
2010-06-30,5.12,$9.24,0.55
2010-03-31,5.1,$9.16,0.56
2009-12-31,4.2,$9.14,0.46
2009-09-30,4.32,$9.23,0.47
2009-06-30,3.7,$10.10,0.37
2009-03-31,4.5,$11.44,0.39
2008-12-31,7.6,$10.32,0.74
2008-09-30,9.01,$10.83,0.83
2008-06-30,6.5,$10.69,0.61
2008-03-31,8.48,$8.97,0.95
2007-12-31,7.85,$8.99,0.87
2007-09-30,8.7,$8.94,0.97
2007-06-30,8.69,$8.92,0.97
2007-03-31,8.62,$8.91,0.97
2006-12-31,9.22,$8.90,1.04
2006-09-30,8.29,$8.94,0.93
2006-06-30,7.74,$8.88,0.87
2006-03-31,8.26,$8.37,0.99
