Date,EBIT
2020-12-31,$958
2020-09-30,$568
2020-06-30,$422
2020-03-31,$-74
2019-12-31,$450
2019-09-30,$325
2019-06-30,$365
2019-03-31,$276
2018-12-31,$73
2018-09-30,$296
2018-06-30,$286
2018-03-31,$138
2017-12-31,$229
2017-09-30,$252
2017-06-30,$287
2017-03-31,$144
2016-12-31,$248
2016-09-30,$265
2016-06-30,$341
2016-03-31,$165
2015-12-31,$103
2015-09-30,$272
2015-06-30,$286
2015-03-31,$182
2014-12-31,$183
2014-09-30,$204
2014-06-30,$190
2014-03-31,$-58
2013-12-31,$96
2013-09-30,$189
2013-06-30,$244
2013-03-31,$160
2012-12-31,$135
2012-09-30,$320
2012-06-30,$235
2012-03-31,$120
2011-12-31,$122
2011-09-30,$126
2011-06-30,$123
2011-03-31,$91
2010-12-31,$189
2010-09-30,$130
2010-06-30,$226
2010-03-31,$50
2009-12-31,$84
2009-09-30,$116
2009-06-30,$140
2009-03-31,$11
2008-12-31,$-11
2008-09-30,$-304
2008-06-30,$33
2008-03-31,$61
2007-12-31,$-51
2007-09-30,$13
2007-06-30,$139
2007-03-31,$138
2006-12-31,$156
2006-09-30,$361
2006-06-30,$360
2006-03-31,$274
2005-12-31,"$1,111"
2005-09-30,$277
2005-06-30,$260
2005-03-31,$132
