Date,EBITDA
2020-12-31,"$1,065"
2020-09-30,$668
2020-06-30,$468
2020-03-31,$-31
2019-12-31,$496
2019-09-30,$369
2019-06-30,$409
2019-03-31,$320
2018-12-31,$117
2018-09-30,$342
2018-06-30,$331
2018-03-31,$185
2017-12-31,$287
2017-09-30,$361
2017-06-30,$397
2017-03-31,$256
2016-12-31,$364
2016-09-30,$378
2016-06-30,$443
2016-03-31,$265
2015-12-31,$207
2015-09-30,$374
2015-06-30,$390
2015-03-31,$282
2014-12-31,$303
2014-09-30,$325
2014-06-30,$293
2014-03-31,$74
2013-12-31,$146
2013-09-30,$244
2013-06-30,$296
2013-03-31,$212
2012-12-31,$190
2012-09-30,$354
2012-06-30,$261
2012-03-31,$137
2011-12-31,$140
2011-09-30,$144
2011-06-30,$142
2011-03-31,$112
2010-12-31,$212
2010-09-30,$153
2010-06-30,$248
2010-03-31,$73
2009-12-31,$109
2009-09-30,$146
2009-06-30,$177
2009-03-31,$48
2008-12-31,$25
2008-09-30,$-269
2008-06-30,$67
2008-03-31,$98
2007-12-31,$-14
2007-09-30,$45
2007-06-30,$170
2007-03-31,$167
2006-12-31,$212
2006-09-30,$504
2006-06-30,$498
2006-03-31,$399
2005-12-31,"$1,445"
2005-09-30,$301
2005-06-30,$284
2005-03-31,$157
