Date,EPS
2020-12-31,$2.81
2020-09-30,$1.29
2020-06-30,$1.11
2020-03-31,$-0.22
2019-12-31,$1.23
2019-09-30,$0.90
2019-06-30,$0.96
2019-03-31,$0.74
2018-12-31,$0.16
2018-09-30,$0.85
2018-06-30,$0.90
2018-03-31,$0.35
2017-12-31,$0.83
2017-09-30,$0.48
2017-06-30,$0.86
2017-03-31,$0.21
2016-12-31,$0.64
2016-09-30,$0.45
2016-06-30,$0.56
2016-03-31,$0.21
2015-12-31,$0.39
2015-09-30,$0.36
2015-06-30,$0.46
2015-03-31,$0.22
2014-12-31,$2.49
2014-09-30,$0.27
2014-06-30,$0.40
2014-03-31,$-0.08
2013-12-31,$0.28
2013-09-30,$0.41
2013-06-30,$0.60
2013-03-31,$0.39
2012-12-31,$0.67
2012-09-30,$1.04
2012-06-30,$0.65
2012-03-31,$0.33
2011-12-31,$0.77
2011-09-30,$0.33
2011-06-30,$0.36
2011-03-31,$0.19
2010-12-31,$0.57
2010-09-30,$0.36
2010-06-30,$0.61
2010-03-31,$0.07
2009-12-31,$0.31
2009-09-30,$0.32
2009-06-30,$0.40
2009-03-31,$-0.06
2008-12-31,$-0.06
2008-09-30,$-0.95
2008-06-30,$0.03
2008-03-31,$0.13
2007-12-31,$-0.19
2007-09-30,$0.03
2007-06-30,$0.38
2007-03-31,$0.37
2006-12-31,$0.29
2006-09-30,$0.73
2006-06-30,$0.76
2006-03-31,$0.61
2005-12-31,$3.16
2005-09-30,$0.98
2005-06-30,$0.93
2005-03-31,$0.48
