Fidelity National Financial Price/Book Ratio Historical Data,Fidelity National Financial Price/Book Ratio Historical Data,Fidelity National Financial Price/Book Ratio Historical Data,Fidelity National Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,43.66,,1.52
2020-12-31,38.76,$28.79,1.35
2020-09-30,30.76,$24.46,1.26
2020-06-30,29.82,$21.76,1.37
2020-03-31,23.95,$18.78,1.28
2019-12-31,43.15,$19.47,2.22
2019-09-30,41.96,$18.62,2.25
2019-06-30,37.8,$18.05,2.09
2019-03-31,34.02,$17.33,1.96
2018-12-31,29.01,$16.81,1.73
2018-09-30,35.97,$17.03,2.11
2018-06-30,34.13,$16.85,2.03
2018-03-31,36.03,$16.31,2.21
2017-12-31,35.05,$16.28,2.15
2017-09-30,30.8,$15.88,1.94
2017-06-30,28.94,$20.47,1.41
2017-03-31,24.99,$20.34,1.23
2016-12-31,21.65,$19.55,1.11
2016-09-30,23.36,$19.98,1.17
2016-06-30,23.6,$19.62,1.2
2016-03-31,21.2,$19.15,1.11
2015-12-31,21.54,$18.93,1.14
2015-09-30,21.9,$18.69,1.17
2015-06-30,22.71,$18.92,1.2
2015-03-31,22.45,$16.43,1.37
2014-12-31,20.93,$16.31,1.28
2014-09-30,16.76,$17.11,0.98
2014-06-30,19.66,$17.25,1.14
2014-03-31,18.87,$22.67,0.83
2013-12-31,19.47,$22.11,0.88
2013-09-30,15.87,$21.50,0.74
2013-06-30,14.11,$21.18,0.67
2013-03-31,14.85,$20.99,0.71
2012-12-31,13.77,$20.78,0.66
2012-09-30,12.42,$20.50,0.61
2012-06-30,11.11,$18.07,0.61
2012-03-31,10.32,$16.87,0.61
2011-12-31,9.05,$16.57,0.55
2011-09-30,8.56,$16.03,0.53
2011-06-30,8.81,$15.80,0.56
2011-03-31,7.84,$15.46,0.51
2010-12-31,7.53,$15.39,0.49
2010-09-30,8.53,$15.25,0.56
2010-06-30,6.97,$14.98,0.47
2010-03-31,7.85,$14.46,0.54
2009-12-31,7.06,$14.53,0.49
2009-09-30,7.82,$14.09,0.56
2009-06-30,6.95,$13.38,0.52
2009-03-31,9.91,$12.72,0.78
2008-12-31,8.94,$13.29,0.67
2008-09-30,7.32,$13.36,0.55
2008-06-30,6.15,$14.66,0.42
2008-03-31,8.77,$15.11,0.58
2007-12-31,6.86,$15.23,0.45
2007-09-30,8.06,$15.88,0.51
2007-06-30,10.74,$16.09,0.67
2007-03-31,10.76,$15.77,0.68
2006-12-31,10.56,$15.69,0.67
2006-09-30,9.16,$15.12,0.61
2006-06-30,8.48,$14.63,0.58
2006-03-31,9.67,$14.37,0.67
