Date,Shares
2020-12-31,286
2020-09-30,293
2020-06-30,279
2020-03-31,274
2019-12-31,277
2019-09-30,277
2019-06-30,277
2019-03-31,277
2018-12-31,278
2018-09-30,278
2018-06-30,278
2018-03-31,280
2017-12-31,345
2017-09-30,341
2017-06-30,344
2017-03-31,347
2016-12-31,350
2016-09-30,348
2016-06-30,351
2016-03-31,353
2015-12-31,368
2015-09-30,363
2015-06-30,367
2015-03-31,380
2014-12-31,189
2014-09-30,377
2014-06-30,283
2014-03-31,282
2013-12-31,235
2013-09-30,230
2013-06-30,229
2013-03-31,231
2012-12-31,226
2012-09-30,226
2012-06-30,225
2012-03-31,223
2011-12-31,223
2011-09-30,222
2011-06-30,225
2011-03-31,224
2010-12-31,229
2010-09-30,229
2010-06-30,231
2010-03-31,230
2009-12-31,229
2009-09-30,232
2009-06-30,232
2009-03-31,213
2008-12-31,210
2008-09-30,209
2008-06-30,213
2008-03-31,214
2007-12-31,220
2007-09-30,220
2007-06-30,223
2007-03-31,223
2006-12-31,183
2006-09-30,174
2006-06-30,174
2006-03-31,174
2005-12-31,174
2005-09-30,174
2005-06-30,173
2005-03-31,173
