Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.069305,8.211809,8.003990,8.081180,5.733777,6865815
2010-01-05,7.802109,7.920863,7.689293,7.766483,5.510491,13383851
2010-01-06,7.742732,7.956489,7.742732,7.932738,5.628455,6957433
2010-01-07,7.867424,7.998052,7.713044,7.802109,5.535769,5282705
2010-01-08,7.748670,7.861486,7.736795,7.796171,5.531558,3911630
2010-01-11,7.861486,7.914925,7.778358,7.861486,5.577899,3210683
2010-01-12,7.825860,7.891174,7.748670,7.867424,5.582112,6094133
2010-01-13,7.897112,8.075242,7.867424,8.051492,5.712713,6537067
2010-01-14,8.015865,8.045554,7.914925,8.015865,5.687436,4319702
2010-01-15,8.027741,8.027741,7.867424,7.956489,5.645305,5166834
2010-01-19,7.980239,8.021803,7.926800,8.003990,5.679009,3512147
2010-01-20,7.920863,7.980239,7.867424,7.950551,5.641093,3840895
2010-01-21,7.938676,8.021803,7.885237,7.903050,5.607389,4530727
2010-01-22,7.897112,7.944613,7.665542,7.695231,5.459936,6269454
2010-01-25,7.772421,7.855548,7.713044,7.748670,5.497853,3226682
2010-01-26,7.701169,7.873361,7.695231,7.772421,5.514705,2983658
2010-01-27,7.730857,7.873361,7.713044,7.873361,5.586325,3843422
2010-01-28,7.867424,7.867424,7.707106,7.707106,5.468363,3146685
2010-01-29,7.748670,7.831797,7.659605,7.659605,5.434659,4008132
2010-02-01,7.695231,7.736795,7.564602,7.600228,5.392530,5895065
2010-02-02,7.594290,7.802109,7.564602,7.730857,5.485214,3608986
2010-02-03,7.713044,7.992115,7.647729,7.950551,5.641093,5926391
2010-02-04,7.849610,7.950551,7.748670,7.796171,5.531558,6721146
2010-02-05,7.808047,7.986177,7.790234,7.980239,5.662158,5550318
2010-02-08,7.986177,8.003990,7.885237,7.897112,5.603176,3824896
2010-02-09,8.003990,8.003990,7.861486,7.968364,5.653730,3753993
2010-02-10,7.968364,8.075242,7.914925,8.069305,5.725353,2024529
2010-02-11,8.045554,8.152432,7.938676,8.134619,5.771692,2896082
2010-02-12,8.104931,8.241497,8.039616,8.193996,5.813823,4588662
2010-02-16,8.235560,8.324625,8.170245,8.312749,5.898079,2289952
2010-02-17,8.330562,8.389939,8.312749,8.372126,5.940207,2041707
2010-02-18,8.395877,8.496817,8.354313,8.484942,6.020254,2111095
2010-02-19,8.496817,8.609633,8.437441,8.591820,6.096089,1724917
2010-02-22,8.633384,8.633384,8.496817,8.585883,6.091874,2402454
2010-02-23,8.562132,8.597758,8.467129,8.467129,6.007616,2526408
2010-02-24,8.449316,8.544319,8.425565,8.526506,6.049744,1935605
2010-02-25,8.401815,8.544319,8.384002,8.502755,6.032892,1768705
2010-02-26,8.550257,8.568070,8.443378,8.461191,6.003404,2603711
2010-03-01,8.467129,8.508693,8.413690,8.425565,5.978126,2563628
2010-03-02,8.401815,8.532443,8.401815,8.520568,6.045533,4324081
2010-03-03,8.526506,8.633384,8.484942,8.597758,6.100299,2445063
2010-03-04,8.633384,8.645259,8.520568,8.550257,6.066597,1807272
2010-03-05,8.579945,8.603696,8.526506,8.597758,6.100299,1860323
2010-03-08,8.574007,8.639322,8.526506,8.556194,6.070807,2032107
2010-03-09,8.544319,8.574007,8.419628,8.461191,6.003404,4592031
2010-03-10,8.437441,8.508693,8.360251,8.431503,5.982338,3646880
2010-03-11,8.395877,8.437441,8.336500,8.348375,5.923358,2634026
2010-03-12,8.360251,8.372126,8.188058,8.223684,5.834886,4840613
2010-03-15,8.170245,8.229622,8.104931,8.223684,5.898772,3296070
2010-03-16,8.229622,8.479004,8.193996,8.455254,6.064874,3046140
2010-03-17,8.473067,8.775888,8.455254,8.758075,6.282083,4127202
2010-03-18,8.722449,8.924330,8.722449,8.864953,6.358749,4332670
2010-03-19,8.740262,8.930268,8.674948,8.740262,6.269309,3767298
2010-03-22,8.710574,8.870891,8.651197,8.870891,6.363008,3814286
2010-03-23,8.876829,8.936206,8.758075,8.936206,6.409857,4654681
2010-03-24,8.912455,8.924330,8.764013,8.799639,6.311898,3084202
2010-03-25,8.876829,8.918393,8.752138,8.758075,6.282083,3348110
2010-03-26,8.799639,8.900580,8.764013,8.793701,6.307639,2591754
2010-03-29,8.841203,8.876829,8.752138,8.775888,6.294865,1992867
2010-03-30,8.775888,8.823390,8.698698,8.722449,6.256531,2340646
2010-03-31,8.716511,8.859016,8.669010,8.799639,6.311898,4147918
2010-04-01,8.841203,8.888704,8.722449,8.764013,6.286345,2555376
2010-04-05,8.740262,8.948081,8.740262,8.882766,6.371525,5016776
2010-04-06,8.847140,8.906517,8.823390,8.841203,6.341712,3325879
2010-04-07,8.841203,8.853078,8.663072,8.674948,6.222459,4101266
2010-04-08,8.627446,8.657135,8.484942,8.621509,6.184127,3454717
2010-04-09,8.615571,8.710574,8.532443,8.686823,6.230977,2468136
2010-04-12,8.704636,8.758075,8.615571,8.752138,6.277826,2629984
2010-04-13,8.728387,8.764013,8.633384,8.710574,6.248012,2245659
2010-04-14,8.758075,8.817452,8.722449,8.793701,6.307639,3570924
2010-04-15,8.793701,8.888704,8.764013,8.841203,6.341712,2900292
2010-04-16,8.841203,8.864953,8.728387,8.758075,6.282083,3747088
2010-04-19,8.740262,8.954019,8.698698,8.930268,6.405600,5190918
2010-04-20,9.084648,9.191526,8.995582,9.173713,6.580218,4217642
2010-04-21,9.197463,9.286529,9.138087,9.203401,6.601513,3763256
2010-04-22,9.179650,9.227152,8.977769,9.019333,6.469482,6068534
2010-04-23,9.049021,9.167775,8.906517,9.167775,6.575959,4543527
2010-04-26,9.221214,9.405282,9.138087,9.280591,6.656881,3986070
2010-04-27,9.233089,9.322155,8.936206,8.959956,6.426891,4636492
2010-04-28,9.072772,9.280591,8.983707,9.239027,6.627069,3838201
2010-04-29,9.280591,9.310279,9.054959,9.221214,6.614289,3927966
2010-04-30,9.239027,9.250903,8.989645,9.013395,6.465224,3416824
2010-05-03,9.090585,9.144024,9.019333,9.114336,6.537626,2256101
2010-05-04,9.007458,9.078710,8.912455,8.971832,6.435412,3892094
2010-05-05,8.971832,9.096523,8.835265,8.859016,6.354490,3129001
2010-05-06,8.847140,9.310279,8.354313,8.597758,6.167091,10983755
2010-05-07,8.603696,8.716511,8.419628,8.449316,6.060615,4538811
2010-05-10,8.746200,8.799639,8.639322,8.793701,6.307639,3064161
2010-05-11,8.710574,8.948081,8.645259,8.859016,6.354490,2779874
2010-05-12,8.894642,8.989645,8.829327,8.989645,6.448188,2770780
2010-05-13,8.959956,9.155900,8.906517,8.936206,6.409857,2976079
2010-05-14,8.888704,8.983707,8.674948,8.716511,6.252272,2999994
2010-05-17,8.728387,8.829327,8.621509,8.811514,6.320416,2289110
2010-05-18,8.912455,9.001520,8.686823,8.716511,6.252272,2693477
2010-05-19,8.716511,8.817452,8.556194,8.686823,6.230977,2859535
2010-05-20,8.508693,8.615571,8.342438,8.348375,5.988212,5717050
2010-05-21,8.235560,8.473067,8.170245,8.431503,6.047839,4875812
2010-05-24,8.419628,8.568070,8.360251,8.366188,6.000988,3078981
2010-05-25,8.217747,8.449316,8.128681,8.425565,6.043579,3932850
2010-05-26,8.455254,8.520568,8.306812,8.360251,5.996730,3008920
2010-05-27,8.479004,8.633384,8.366188,8.615571,6.179869,2463421
2010-05-28,8.609633,8.645259,8.496817,8.562132,6.141537,3183399
2010-06-01,8.496817,8.568070,8.288999,8.306812,5.958397,2660973
2010-06-02,8.360251,8.419628,8.217747,8.401815,6.026543,3000163
2010-06-03,8.443378,8.449316,8.336500,8.372126,6.005246,2417612
2010-06-04,8.188058,8.294936,8.098993,8.104931,5.813591,4181096
2010-06-07,8.164307,8.229622,8.027741,8.033679,5.762484,3635596
2010-06-08,8.033679,8.104931,7.956489,8.081180,5.796555,4357932
2010-06-09,8.140557,8.199933,7.968364,7.992115,5.732670,3644522
2010-06-10,8.116806,8.140557,7.944613,8.057429,5.779519,3683258
2010-06-11,7.974302,8.110868,7.968364,8.110868,5.817850,2837136
2010-06-14,8.146494,8.241497,8.021803,8.140557,5.917117,2628300
2010-06-15,8.229622,8.294936,8.134619,8.277123,6.016381,2141578
2010-06-16,8.211809,8.241497,8.104931,8.152432,5.925750,2242122
2010-06-17,8.134619,8.217747,8.045554,8.211809,5.968907,2742149
2010-06-18,8.217747,8.217747,8.039616,8.122744,5.904169,3433497
2010-06-21,8.199933,8.241497,8.033679,8.057429,5.856693,1626899
2010-06-22,8.063367,8.229622,8.063367,8.087118,5.878273,2033118
2010-06-23,8.087118,8.110868,7.962426,8.003990,5.817850,2255259
2010-06-24,7.962426,7.998052,7.813984,7.825860,5.688372,3764940
2010-06-25,7.843673,7.992115,7.784296,7.992115,5.809219,4025984
2010-06-28,7.980239,8.045554,7.944613,7.986177,5.804903,1445683
2010-06-29,7.897112,7.903050,7.629916,7.665542,5.571843,4336207
2010-06-30,7.635854,7.873361,7.629916,7.713044,5.606371,3504232
2010-07-01,7.695231,7.730857,7.481474,7.612103,5.533001,4117434
2010-07-02,7.641792,7.713044,7.570540,7.612103,5.533001,1841629
2010-07-06,7.707106,7.802109,7.552727,7.612103,5.533001,2502999
2010-07-07,7.629916,7.903050,7.629916,7.891174,5.735847,2526577
2010-07-08,7.950551,8.033679,7.861486,7.962426,5.787637,1470609
2010-07-09,7.950551,8.104931,7.926800,8.104931,5.891221,1199122
2010-07-12,8.081180,8.093055,7.974302,8.057429,5.856693,1378653
2010-07-13,8.152432,8.342438,8.140557,8.318687,6.046593,1823440
2010-07-14,8.294936,8.324625,8.193996,8.253373,5.999119,1337391
2010-07-15,8.271186,8.288999,8.140557,8.223684,5.977539,1983267
2010-07-16,8.182120,8.205871,7.873361,7.879299,5.727215,2147641
2010-07-19,7.914925,7.938676,7.778358,7.873361,5.722900,2323804
2010-07-20,7.802109,8.199933,7.754608,8.188058,5.951644,3498000
2010-07-21,8.247435,8.283061,8.039616,8.039616,5.843745,2696340
2010-07-22,8.431503,8.746200,8.431503,8.740262,6.353023,4336544
2010-07-23,8.740262,8.817452,8.698698,8.799639,6.396182,3038225
2010-07-26,8.787764,8.936206,8.775888,8.876829,6.452290,2680172
2010-07-27,8.906517,8.930268,8.841203,8.888704,6.460920,2675288
2010-07-28,8.888704,8.888704,8.746200,8.781826,6.383235,1302698
2010-07-29,8.817452,8.870891,8.621509,8.805577,6.400499,2109747
2010-07-30,8.722449,8.829327,8.621509,8.769951,6.374602,1602815
2010-08-02,8.870891,9.013395,8.841203,9.007458,6.547239,2537861
2010-08-03,9.001520,9.078710,8.787764,8.793701,6.391866,2686572
2010-08-04,8.853078,8.864953,8.704636,8.775888,6.378920,2242459
2010-08-05,8.716511,8.805577,8.704636,8.728387,6.344392,1399705
2010-08-06,8.657135,8.799639,8.609633,8.740262,6.353023,1466398
2010-08-09,8.805577,8.829327,8.746200,8.787764,6.387552,1715485
2010-08-10,8.728387,8.799639,8.651197,8.716511,6.335759,1373264
2010-08-11,8.585883,8.609633,8.389939,8.389939,6.098384,1936616
2010-08-12,8.312749,8.407752,8.300874,8.372126,6.085435,1678602
2010-08-13,8.360251,8.473067,8.348375,8.360251,6.076805,1129229
2010-08-16,8.306812,8.692761,8.306812,8.674948,6.305548,2312015
2010-08-17,8.769951,8.787764,8.686823,8.722449,6.340075,2042549
2010-08-18,8.728387,8.888704,8.645259,8.805577,6.400499,1822093
2010-08-19,8.775888,8.787764,8.692761,8.710574,6.331443,1788241
2010-08-20,8.669010,8.823390,8.645259,8.764013,6.370288,2267890
2010-08-23,8.829327,8.835265,8.704636,8.716511,6.335759,1635151
2010-08-24,8.639322,8.692761,8.538381,8.585883,6.240808,1668497
2010-08-25,8.550257,8.716511,8.538381,8.663072,6.296917,5353945
2010-08-26,8.710574,8.758075,8.568070,8.603696,6.253757,2537187
2010-08-27,8.698698,8.746200,8.550257,8.728387,6.344392,2714192
2010-08-30,8.680885,8.716511,8.562132,8.568070,6.227860,2993594
2010-08-31,8.544319,8.663072,8.526506,8.609633,6.258073,3691173
2010-09-01,8.704636,8.775888,8.556194,8.728387,6.344392,4401384
2010-09-02,8.722449,8.817452,8.627446,8.716511,6.335759,4179580
2010-09-03,8.787764,8.853078,8.734325,8.853078,6.435025,2898776
2010-09-07,8.841203,8.841203,8.663072,8.669010,6.301230,2070506
2010-09-08,8.710574,8.769951,8.657135,8.710574,6.331443,1853081
2010-09-09,8.817452,8.817452,8.680885,8.734325,6.348708,1434904
2010-09-10,8.764013,8.841203,8.692761,8.805577,6.400499,2131641
2010-09-13,8.900580,9.019333,8.859016,9.001520,6.542925,2628637
2010-09-14,8.876829,9.066835,8.787764,9.007458,6.625910,3111822
2010-09-15,8.965894,9.037146,8.912455,8.989645,6.612806,1828156
2010-09-16,8.959956,9.025271,8.918393,8.983707,6.608440,1646940
2010-09-17,9.049021,9.072772,8.971832,9.037146,6.647750,3703468
2010-09-20,9.043084,9.114336,8.959956,9.102461,6.695794,2630826
2010-09-21,9.114336,9.126211,8.977769,8.989645,6.612806,2465105
2010-09-22,8.965894,9.060897,8.942143,8.948081,6.582231,1808788
2010-09-23,8.882766,9.090585,8.870891,8.965894,6.595335,2332898
2010-09-24,9.049021,9.292466,9.037146,9.286529,6.831196,4320712
2010-09-27,9.292466,9.292466,9.066835,9.084648,6.682692,2400096
2010-09-28,9.149962,9.423095,9.114336,9.363718,6.887976,3896136
2010-09-29,9.339968,9.399344,9.209339,9.310279,6.848667,2665857
2010-09-30,9.369656,9.541849,9.322155,9.328092,6.861769,4035416
2010-10-01,9.434971,9.452784,8.651197,8.930268,6.569131,10620481
2010-10-04,8.882766,8.930268,8.698698,8.787764,6.464304,4362311
2010-10-05,8.864953,8.864953,8.639322,8.769951,6.451199,5940538
2010-10-06,8.752138,8.764013,8.633384,8.651197,6.363844,2744844
2010-10-07,8.704636,8.758075,8.502755,8.520568,6.267753,2985005
2010-10-08,8.532443,8.550257,8.277123,8.508693,6.259018,6133037
2010-10-11,8.520568,8.550257,8.324625,8.384002,6.167295,5330366
2010-10-12,8.384002,8.805577,8.384002,8.740262,6.429362,6631717
2010-10-13,8.787764,8.870891,8.728387,8.799639,6.473039,3671469
2010-10-14,8.769951,8.930268,8.692761,8.710574,6.407522,2573565
2010-10-15,8.764013,8.769951,8.621509,8.639322,6.355109,4795646
2010-10-18,8.621509,8.674948,8.520568,8.674948,6.381315,4567442
2010-10-19,8.597758,8.787764,8.556194,8.603696,6.328902,4648113
2010-10-20,8.639322,8.805577,8.621509,8.752138,6.438097,3656143
2010-10-21,8.241497,8.342438,7.665542,7.707106,5.669369,25399996
2010-10-22,7.707106,7.736795,7.564602,7.588353,5.582013,8164302
2010-10-25,7.641792,7.867424,7.629916,7.790234,5.730517,5903991
2010-10-26,7.754608,8.015865,7.748670,7.992115,5.879022,6333789
2010-10-27,7.932738,7.950551,7.730857,7.742732,5.695575,7067072
2010-10-28,7.742732,7.855548,7.730857,7.837735,5.765460,5074542
2010-10-29,7.831797,7.956489,7.748670,7.950551,5.848447,7593035
2010-11-01,7.962426,7.962426,7.742732,7.920863,5.826608,6679379
2010-11-02,7.956489,8.134619,7.885237,8.128681,5.979480,4691228
2010-11-03,8.128681,8.128681,7.897112,7.992115,5.879022,3540273
2010-11-04,8.069305,8.193996,8.045554,8.188058,6.023158,2930607
2010-11-05,8.182120,8.395877,8.134619,8.372126,6.158558,3613197
2010-11-08,8.389939,8.389939,8.128681,8.193996,6.027526,2606911
2010-11-09,8.199933,8.241497,8.087118,8.093055,5.953271,2441695
2010-11-10,8.069305,8.372126,8.069305,8.354313,6.145456,3174305
2010-11-11,8.259310,8.312749,8.199933,8.241497,6.062467,1813840
2010-11-12,8.164307,8.265248,8.146494,8.170245,6.010055,1957331
2010-11-15,8.188058,8.223684,8.116806,8.158370,6.001319,1672202
2010-11-16,8.093055,8.134619,7.986177,8.027741,5.905229,2036992
2010-11-17,8.063367,8.265248,8.033679,8.235560,6.058101,3284617
2010-11-18,8.306812,8.312749,8.199933,8.235560,6.058101,1503955
2010-11-19,8.247435,8.247435,8.104931,8.217747,6.044998,1569974
2010-11-22,8.176183,8.217747,8.110868,8.170245,6.010055,2643289
2010-11-23,8.093055,8.253373,8.069305,8.188058,6.023158,1886428
2010-11-24,8.247435,8.300874,8.146494,8.217747,6.044998,1935774
2010-11-26,8.188058,8.188058,8.116806,8.116806,5.970746,1168975
2010-11-29,8.093055,8.110868,7.944613,8.093055,5.953271,2299047
2010-11-30,8.015865,8.122744,8.003990,8.015865,5.896494,2866946
2010-12-01,8.116806,8.176183,8.069305,8.122744,5.975113,2339298
2010-12-02,8.152432,8.372126,8.110868,8.182120,6.018790,4181432
2010-12-03,8.140557,8.277123,8.134619,8.241497,6.062467,2052991
2010-12-06,8.241497,8.253373,8.182120,8.217747,6.044998,2025371
2010-12-07,8.164307,8.199933,8.110868,8.146494,6.071546,2481610
2010-12-08,8.158370,8.223684,8.104931,8.158370,6.080400,1935605
2010-12-09,8.211809,8.241497,8.122744,8.229622,6.133502,2510914
2010-12-10,8.235560,8.288999,8.211809,8.283061,6.173332,1984446
2010-12-13,8.300874,8.312749,8.199933,8.300874,6.186607,1950763
2010-12-14,8.283061,8.324625,8.265248,8.283061,6.173332,1464882
2010-12-15,8.283061,8.300874,8.176183,8.182120,6.098100,2501314
2010-12-16,8.205871,8.277123,8.170245,8.205871,6.115800,2751244
2010-12-17,8.223684,8.348375,8.188058,8.235560,6.137928,3401498
2010-12-20,8.253373,8.283061,8.164307,8.188058,6.102527,1991519
2010-12-21,8.205871,8.283061,8.193996,8.211809,6.120229,1767358
2010-12-22,8.247435,8.259310,8.164307,8.223684,6.129077,2018129
2010-12-23,8.223684,8.253373,8.193996,8.199933,6.111377,1673381
2010-12-27,8.205871,8.205871,8.075242,8.134619,6.062697,1874975
2010-12-28,8.176183,8.176183,8.063367,8.093055,6.031719,1293940
2010-12-29,8.122744,8.223684,8.069305,8.193996,6.106952,1451241
2010-12-30,8.182120,8.223684,8.164307,8.176183,6.093675,1117945
2010-12-31,8.164307,8.211809,8.116806,8.122744,6.053846,2047096
2011-01-03,8.176183,8.199933,8.093055,8.134619,6.062697,2946101
