GATX Debt/Equity Ratio Historical Data,GATX Debt/Equity Ratio Historical Data,GATX Debt/Equity Ratio Historical Data,GATX Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$6.98B,$1.96B,3.57
2020-09-30,$6.76B,$1.93B,3.5
2020-06-30,$6.64B,$1.88B,3.54
2020-03-31,$6.89B,$1.83B,3.76
2019-12-31,$6.45B,$1.84B,3.52
2019-09-30,$6.30B,$1.79B,3.53
2019-06-30,$6.52B,$1.84B,3.55
2019-03-31,$6.43B,$1.81B,3.56
2018-12-31,$5.83B,$1.79B,3.26
2018-09-30,$5.68B,$1.84B,3.09
2018-06-30,$5.68B,$1.82B,3.12
2018-03-31,$5.63B,$1.84B,3.06
2017-12-31,$5.63B,$1.79B,3.14
2017-09-30,$5.79B,$1.47B,3.94
2017-06-30,$5.83B,$1.44B,4.04
2017-03-31,$5.71B,$1.39B,4.12
2016-12-31,$5.76B,$1.35B,4.27
2016-09-30,$5.72B,$1.37B,4.17
2016-06-30,$5.78B,$1.31B,4.42
2016-03-31,$5.76B,$1.31B,4.41
2015-12-31,$5.61B,$1.28B,4.39
2015-09-30,$5.64B,$1.27B,4.44
2015-06-30,$5.58B,$1.29B,4.34
2015-03-31,$5.77B,$1.28B,4.5
2014-12-31,$5.61B,$1.31B,4.27
2014-09-30,$5.49B,$1.33B,4.12
2014-06-30,$5.55B,$1.37B,4.04
2014-03-31,$5.70B,$1.42B,4.0
2013-12-31,$5.15B,$1.40B,3.69
2013-09-30,$5.03B,$1.31B,3.83
2013-06-30,$4.90B,$1.22B,4.02
2013-03-31,$4.92B,$1.22B,4.02
2012-12-31,$4.81B,$1.24B,3.87
2012-09-30,$4.90B,$1.23B,4.0
2012-06-30,$4.75B,$1.17B,4.06
2012-03-31,$4.62B,$1.18B,3.93
2011-12-31,$4.73B,$1.13B,4.2
2011-09-30,$4.60B,$1.16B,3.98
2011-06-30,$4.45B,$1.19B,3.74
2011-03-31,$4.35B,$1.15B,3.77
2010-12-31,$4.33B,$1.11B,3.89
2010-09-30,$4.04B,$1.10B,3.67
2010-06-30,$4.04B,$1.05B,3.87
2010-03-31,$4.21B,$1.10B,3.84
2009-12-31,$4.10B,$1.10B,3.72
2009-09-30,$4.15B,$1.11B,3.73
2009-06-30,$4.02B,$1.07B,3.76
2009-03-31,$3.98B,$1.07B,3.72
2008-12-31,$4.07B,$1.13B,3.62
2008-09-30,$3.82B,$1.28B,3.0
2008-06-30,$3.63B,$1.26B,2.88
2008-03-31,$3.66B,$1.14B,3.22
2007-12-31,$3.58B,$1.15B,3.11
2007-09-30,$3.41B,$1.09B,3.13
2007-06-30,$3.28B,$1.09B,3.03
2007-03-31,$3.51B,$1.11B,3.17
2006-12-31,$3.48B,$1.17B,2.98
2006-09-30,$4.61B,$1.13B,4.08
2006-06-30,$4.68B,$1.15B,4.08
2006-03-31,$4.33B,$1.08B,4.01
2005-12-31,$4.22B,$1.02B,4.13
2005-09-30,$4.24B,$1.14B,3.72
2005-06-30,$4.26B,$1.10B,3.88
2005-03-31,$4.29B,$1.09B,3.95
