Date,EBIT
2020-12-31,$73
2020-09-30,$78
2020-06-30,$68
2020-03-31,$67
2019-12-31,$60
2019-09-30,$75
2019-06-30,$71
2019-03-31,$76
2018-12-31,$50
2018-09-30,$84
2018-06-30,$81
2018-03-31,$68
2017-12-31,$75
2017-09-30,$90
2017-06-30,$83
2017-03-31,$85
2016-12-31,$87
2016-09-30,$91
2016-06-30,$85
2016-03-31,$110
2015-12-31,$87
2015-09-30,$104
2015-06-30,$89
2015-03-31,$80
2014-12-31,$81
2014-09-30,$94
2014-06-30,$77
2014-03-31,$64
2013-12-31,$67
2013-09-30,$72
2013-06-30,$57
2013-03-31,$52
2012-12-31,$55
2012-09-30,$68
2012-06-30,$63
2012-03-31,$53
2011-12-31,$101
2011-09-30,$93
2011-06-30,$92
2011-03-31,$81
2010-12-31,$72
2010-09-30,$85
2010-06-30,$72
2010-03-31,$88
2009-12-31,$82
2009-09-30,$76
2009-06-30,$73
2009-03-31,$84
2008-12-31,$95
2008-09-30,$144
2008-06-30,$108
2008-03-31,$114
2007-12-31,$91
2007-09-30,$133
2007-06-30,$110
2007-03-31,$97
2006-12-31,$90
2006-09-30,$109
2006-06-30,$95
2006-03-31,$98
2005-12-31,$40
2005-09-30,$86
2005-06-30,$117
2005-03-31,$94
