Date,EBITDA
2020-12-31,$161
2020-09-30,$165
2020-06-30,$153
2020-03-31,$151
2019-12-31,$144
2019-09-30,$158
2019-06-30,$154
2019-03-31,$159
2018-12-31,$124
2018-09-30,$171
2018-06-30,$166
2018-03-31,$150
2017-12-31,$159
2017-09-30,$173
2017-06-30,$163
2017-03-31,$160
2016-12-31,$167
2016-09-30,$170
2016-06-30,$164
2016-03-31,$182
2015-12-31,$163
2015-09-30,$182
2015-06-30,$166
2015-03-31,$152
2014-12-31,$157
2014-09-30,$169
2014-06-30,$152
2014-03-31,$126
2013-12-31,$139
2013-09-30,$141
2013-06-30,$124
2013-03-31,$112
2012-12-31,$120
2012-09-30,$132
2012-06-30,$125
2012-03-31,$112
2011-12-31,$164
2011-09-30,$153
2011-06-30,$152
2011-03-31,$136
2010-12-31,$131
2010-09-30,$142
2010-06-30,$130
2010-03-31,$142
2009-12-31,$141
2009-09-30,$134
2009-06-30,$131
2009-03-31,$137
2008-12-31,$150
2008-09-30,$201
2008-06-30,$164
2008-03-31,$165
2007-12-31,$145
2007-09-30,$184
2007-06-30,$161
2007-03-31,$142
2006-12-31,$137
2006-09-30,$154
2006-06-30,$138
2006-03-31,$136
2005-12-31,$79
2005-09-30,$93
2005-06-30,$168
2005-03-31,$149
