Date,EPS
2020-12-31,$0.50
2020-09-30,$1.35
2020-06-30,$1.11
2020-03-31,$1.31
2019-12-31,$1.58
2019-09-30,$1.25
2019-06-30,$1.86
2019-03-31,$1.12
2018-12-31,$1.31
2018-09-30,$1.22
2018-06-30,$1.01
2018-03-31,$1.98
2017-12-31,$8.71
2017-09-30,$1.25
2017-06-30,$1.35
2017-03-31,$1.44
2016-12-31,$0.78
2016-09-30,$2.36
2016-06-30,$1.49
2016-03-31,$1.66
2015-12-31,$1.36
2015-09-30,$0.91
2015-06-30,$1.03
2015-03-31,$1.39
2014-12-31,$1.29
2014-09-30,$1.14
2014-06-30,$1.15
2014-03-31,$0.90
2013-12-31,$1.13
2013-09-30,$1.15
2013-06-30,$0.74
2013-03-31,$0.57
2012-12-31,$0.62
2012-09-30,$1.13
2012-06-30,$0.49
2012-03-31,$0.64
2011-12-31,$0.67
2011-09-30,$0.70
2011-06-30,$0.56
2011-03-31,$0.42
2010-12-31,$0.42
2010-09-30,$0.45
2010-06-30,$0.46
2010-03-31,$0.40
2009-12-31,$0.45
2009-09-30,$0.42
2009-06-30,$0.27
2009-03-31,$0.56
2008-12-31,$0.57
2008-09-30,$1.46
2008-06-30,$0.82
2008-03-31,$1.03
2007-12-31,$0.75
2007-09-30,$1.62
2007-06-30,$0.77
2007-03-31,$0.62
2006-12-31,$0.71
2006-09-30,$-0.21
2006-06-30,$0.71
2006-03-31,$0.81
2005-12-31,$-2.04
2005-09-30,$0.61
2005-06-30,$0.63
2005-03-31,$0.52
