Golub Capital BDC Debt/Equity Ratio Historical Data,Golub Capital BDC Debt/Equity Ratio Historical Data,Golub Capital BDC Debt/Equity Ratio Historical Data,Golub Capital BDC Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$2.36B,$2.44B,0.97
2020-09-30,$2.05B,$2.40B,0.86
2020-06-30,$2.04B,$2.35B,0.87
2020-03-31,$2.39B,$1.96B,1.22
2019-12-31,$2.37B,$2.23B,1.06
2019-09-30,$2.17B,$2.22B,0.98
2019-06-30,$1.07B,$0.97B,1.11
2019-03-31,$1.07B,$0.97B,1.11
2018-12-31,$1.02B,$0.97B,1.05
2018-09-30,$0.87B,$0.97B,0.9
2018-06-30,$0.91B,$0.97B,0.94
2018-03-31,$0.85B,$0.96B,0.88
2017-12-31,$0.85B,$0.96B,0.89
2017-09-30,$0.80B,$0.96B,0.83
2017-06-30,$0.91B,$0.95B,0.96
2017-03-31,$0.88B,$0.91B,0.97
2016-12-31,$0.91B,$0.87B,1.04
2016-09-30,$0.88B,$0.88B,1.0
2016-06-30,$0.88B,$0.82B,1.07
2016-03-31,$0.85B,$0.82B,1.04
2015-12-31,$0.82B,$0.82B,1.01
2015-09-30,$0.82B,$0.81B,1.01
2015-06-30,$0.84B,$0.81B,1.04
2015-03-31,$0.77B,$0.74B,1.04
2014-12-31,$0.73B,$0.73B,0.99
2014-09-30,$0.71B,$0.73B,0.97
2014-06-30,$0.74B,$0.73B,1.01
2014-03-31,$0.60B,$0.72B,0.83
2013-12-31,$0.61B,$0.66B,0.92
2013-09-30,$0.43B,$0.66B,0.66
2013-06-30,$0.41B,$0.60B,0.69
2013-03-31,$0.39B,$0.50B,0.79
2012-12-31,$0.42B,$0.42B,1.0
2012-09-30,$0.36B,$0.38B,0.96
2012-06-30,$0.34B,$0.37B,0.9
2012-03-31,$0.34B,$0.38B,0.91
2011-12-31,$0.32B,$0.32B,1.01
2011-09-30,$0.24B,$0.32B,0.77
2011-06-30,$0.23B,$0.32B,0.71
2011-03-31,$0.20B,$0.26B,0.75
2010-12-31,$0.20B,$0.26B,0.76
2010-09-30,$0.18B,$0.26B,0.7
2010-06-30,$0.12B,$0.26B,0.48
2010-03-31,$0.21B,$0.14B,1.5
2009-12-31,$0.00B,$0.00B,0.0
2009-09-30,$0.00B,,0.0
2009-06-30,$0.00B,$0.00B,0.0
2009-03-31,$0.00B,$0.00B,0.0
2008-09-30,$0.00B,$0.00B,0.0
