Date,EPS
2020-12-31,$0.56
2020-09-30,$0.81
2020-06-30,$0.93
2020-03-31,$-1.71
2019-12-31,$0.34
2019-09-30,$-1.19
2019-06-30,$0.31
2019-03-31,$0.29
2018-12-31,$0.31
2018-09-30,$0.22
2018-06-30,$0.36
2018-03-31,$0.39
2017-12-31,$0.36
2017-09-30,$0.38
2017-06-30,$0.35
2017-03-31,$0.38
2016-12-31,$0.34
2016-09-30,$0.30
2016-06-30,$0.35
2016-03-31,$0.28
2015-12-31,$0.40
2015-09-30,$0.38
2015-06-30,$0.36
2015-03-31,$0.38
2014-12-31,$0.32
2014-09-30,$0.43
2014-06-30,$0.35
2014-03-31,$0.32
2013-12-31,$0.34
2013-09-30,$0.32
2013-06-30,$0.34
2013-03-31,$0.38
2012-12-31,$0.33
2012-09-30,$0.34
2012-06-30,$0.21
2012-03-31,$0.48
2011-12-31,$0.28
2011-09-30,$0.11
2011-06-30,$0.31
2011-03-31,$0.33
2010-12-31,$0.34
2010-09-30,$-0.24
2010-06-30,$0.24
2010-03-31,$0.00
2009-12-31,$0.00
2009-09-30,$0.00
2009-06-30,$0.00
2009-03-31,$0.00
2008-09-30,$0.00
