Golub Capital BDC Price/Book Ratio Historical Data,Golub Capital BDC Price/Book Ratio Historical Data,Golub Capital BDC Price/Book Ratio Historical Data,Golub Capital BDC Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,15.38,,1.05
2020-12-31,13.87,$14.60,0.95
2020-09-30,12.72,$14.33,0.89
2020-06-30,10.95,$14.05,0.78
2020-03-31,11.54,$14.62,0.79
2019-12-31,16.63,$16.66,1.0
2019-09-30,16.55,$16.76,0.99
2019-06-30,15.37,$15.95,0.96
2019-03-31,15.16,$15.95,0.95
2018-12-31,13.74,$15.97,0.86
2018-09-30,15.24,$16.10,0.95
2018-06-30,14.63,$16.15,0.91
2018-03-31,14.06,$16.11,0.87
2017-12-31,14.05,$16.04,0.88
2017-09-30,14.23,$16.08,0.88
2017-06-30,14.21,$16.01,0.89
2017-03-31,14.54,$15.88,0.92
2016-12-31,13.23,$15.74,0.84
2016-09-30,12.96,$15.96,0.81
2016-06-30,12.4,$15.88,0.78
2016-03-31,11.66,$15.85,0.74
2015-12-31,11.0,$15.89,0.69
2015-09-30,10.37,$15.81,0.66
2015-06-30,10.55,$15.74,0.67
2015-03-31,10.97,$15.61,0.7
2014-12-31,11.0,$15.55,0.71
2014-09-30,9.6,$15.55,0.62
2014-06-30,10.46,$15.44,0.68
2014-03-31,10.35,$15.41,0.67
2013-12-31,10.9,$15.23,0.72
2013-06-30,9.63,$15.12,0.64
2013-03-31,8.92,$14.80,0.6
2012-12-31,8.47,$14.66,0.58
2012-09-30,8.25,$14.60,0.57
2012-06-30,7.67,$14.58,0.53
2012-03-31,7.6,$14.69,0.52
2011-12-31,7.55,$14.53,0.52
2011-09-30,7.09,$14.56,0.49
2011-06-30,6.98,$14.75,0.47
2011-03-31,7.22,$14.75,0.49
2010-12-31,7.68,$14.74,0.52
2010-09-30,6.74,$14.71,0.46
2010-06-30,6.22,$14.67,0.42
