Golub Capital BDC ROA - Return on Assets Historical Data,Golub Capital BDC ROA - Return on Assets Historical Data,Golub Capital BDC ROA - Return on Assets Historical Data,Golub Capital BDC ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.10B,$4.80B,2.27%
2020-09-30,$0.06B,$4.44B,1.24%
2020-06-30,$-0.11B,$4.39B,-2.57%
2020-03-31,$-0.24B,$4.35B,-6.16%
2019-12-31,$0.01B,$4.60B,0.31%
2019-09-30,$-0.02B,$4.40B,-0.73%
2019-06-30,$0.07B,$2.04B,3.60%
2019-03-31,$0.07B,$2.04B,3.83%
2018-12-31,$0.08B,$1.98B,4.21%
2018-09-30,$0.08B,$1.84B,4.47%
2018-06-30,$0.09B,$1.88B,4.85%
2018-03-31,$0.09B,$1.82B,4.76%
2017-12-31,$0.08B,$1.81B,4.67%
2017-09-30,$0.08B,$1.75B,4.58%
2017-06-30,$0.08B,$1.86B,4.24%
2017-03-31,$0.07B,$1.78B,4.22%
2016-12-31,$0.07B,$1.77B,3.89%
2016-09-30,$0.07B,$1.76B,4.08%
2016-06-30,$0.07B,$1.70B,4.34%
2016-03-31,$0.07B,$1.67B,4.37%
2015-12-31,$0.08B,$1.64B,4.73%
2015-09-30,$0.07B,$1.63B,4.48%
2015-06-30,$0.07B,$1.65B,4.69%
2015-03-31,$0.07B,$1.50B,4.70%
2014-12-31,$0.07B,$1.46B,4.57%
2014-09-30,$0.07B,$1.44B,4.73%
2014-06-30,$0.06B,$1.46B,4.43%
2014-03-31,$0.05B,$1.32B,4.60%
2013-12-31,$0.05B,$1.27B,4.88%
2013-09-30,$0.05B,$1.09B,4.79%
2013-06-30,$0.04B,$1.02B,4.94%
2013-03-31,$0.04B,$0.89B,4.41%
2012-12-31,$0.03B,$0.84B,4.53%
2012-09-30,$0.03B,$0.73B,4.43%
2012-06-30,$0.03B,$0.71B,3.81%
2012-03-31,$0.03B,$0.72B,4.39%
2011-12-31,$0.02B,$0.63B,4.00%
2011-09-30,$0.02B,$0.56B,4.34%
2011-06-30,$0.03B,$0.55B,5.24%
2011-03-31,$0.02B,$0.46B,5.27%
2010-12-31,$0.02B,$0.46B,5.85%
2010-09-30,$0.03B,$0.44B,8.80%
2010-03-31,$0.02B,$0.36B,27.04%
2009-12-31,$0.02B,$0.00B,inf%
