Globe Life ROA - Return on Assets Historical Data,Globe Life ROA - Return on Assets Historical Data,Globe Life ROA - Return on Assets Historical Data,Globe Life ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.73B,$29.05B,2.66%
2020-09-30,$0.72B,$28.04B,2.68%
2020-06-30,$0.73B,$27.53B,2.78%
2020-03-31,$0.74B,$25.35B,2.91%
2019-12-31,$0.76B,$25.98B,3.02%
2019-09-30,$0.74B,$25.79B,3.02%
2019-06-30,$0.72B,$24.86B,3.00%
2019-03-31,$0.71B,$24.13B,3.05%
2018-12-31,$0.70B,$23.10B,3.03%
2018-09-30,$1.56B,$23.47B,6.73%
2018-06-30,$1.54B,$22.88B,6.65%
2018-03-31,$1.49B,$23.18B,6.48%
2017-12-31,$1.45B,$23.48B,6.38%
2017-09-30,$0.56B,$22.99B,2.52%
2017-06-30,$0.56B,$22.58B,2.54%
2017-03-31,$0.56B,$22.09B,2.56%
2016-12-31,$0.55B,$21.44B,2.56%
2016-09-30,$0.55B,$22.08B,2.60%
2016-06-30,$0.54B,$21.57B,2.63%
2016-03-31,$0.53B,$20.62B,2.62%
2015-12-31,$0.53B,$19.85B,2.61%
2015-09-30,$0.54B,$20.12B,2.67%
2015-06-30,$0.53B,$20.02B,2.61%
2015-03-31,$0.53B,$20.70B,2.64%
2014-12-31,$0.54B,$20.27B,2.75%
2014-09-30,$0.54B,$19.87B,2.81%
2014-06-30,$0.54B,$19.65B,2.87%
2014-03-31,$0.54B,$19.06B,2.95%
2013-12-31,$0.53B,$18.19B,2.88%
2013-09-30,$0.54B,$18.14B,2.91%
2013-06-30,$0.54B,$18.14B,2.91%
2013-03-31,$0.53B,$18.88B,2.92%
2012-12-31,$0.53B,$18.78B,3.00%
2012-09-30,$0.50B,$17.94B,2.93%
2012-06-30,$0.50B,$17.19B,2.98%
2012-03-31,$0.52B,$16.73B,3.10%
2011-12-31,$0.50B,$16.59B,3.01%
2011-09-30,$0.51B,$16.97B,3.11%
2011-06-30,$0.50B,$16.22B,2.98%
2011-03-31,$0.48B,$16.33B,2.85%
2010-12-31,$0.50B,$16.16B,2.97%
2010-09-30,$0.48B,$17.72B,2.83%
2010-06-30,$0.46B,$16.95B,2.82%
2010-03-31,$0.45B,$16.60B,2.85%
2009-12-31,$0.41B,$16.02B,2.71%
2009-09-30,$0.43B,$15.85B,2.99%
2009-06-30,$0.39B,$14.71B,2.82%
2009-03-31,$0.41B,$13.25B,2.96%
2008-12-31,$0.45B,$13.53B,3.16%
2008-09-30,$0.45B,$13.95B,3.04%
2008-06-30,$0.52B,$14.74B,3.44%
2008-03-31,$0.51B,$14.97B,3.37%
2007-12-31,$0.53B,$15.24B,3.48%
2007-09-30,$0.54B,$15.15B,3.56%
2007-06-30,$0.53B,$15.10B,3.55%
2007-03-31,$0.53B,$15.06B,3.57%
2006-12-31,$0.52B,$14.98B,3.49%
2006-09-30,$0.50B,$14.94B,3.39%
2006-06-30,$0.49B,$14.78B,3.34%
2006-03-31,$0.50B,$14.76B,3.38%
2005-12-31,$0.50B,$14.77B,3.40%
