Date,Shares
2020-12-31,107
2020-09-30,107
2020-06-30,107
2020-03-31,109
2019-12-31,111
2019-09-30,111
2019-06-30,112
2019-03-31,112
2018-12-31,115
2018-09-30,115
2018-06-30,116
2018-03-31,117
2017-12-31,119
2017-09-30,118
2017-06-30,119
2017-03-31,120
2016-12-31,122
2016-09-30,122
2016-06-30,123
2016-03-31,123
2015-12-31,127
2015-09-30,126
2015-06-30,127
2015-03-31,129
2014-12-31,133
2014-09-30,132
2014-06-30,133
2014-03-31,135
2013-12-31,140
2013-09-30,139
2013-06-30,140
2013-03-31,142
2012-12-31,147
2012-09-30,145
2012-06-30,147
2012-03-31,152
2011-12-31,165
2011-09-30,158
2011-06-30,169
2011-03-31,179
2010-12-31,185
2010-09-30,183
2010-06-30,186
2010-03-31,187
2009-12-31,187
2009-09-30,186
2009-06-30,186
2009-03-31,189
2008-12-31,199
2008-09-30,198
2008-06-30,204
2008-03-31,207
2007-12-31,216
2007-09-30,212
2007-06-30,217
2007-03-31,223
2006-12-31,228
2006-09-30,225
2006-06-30,227
2006-03-31,233
2005-12-31,238
2005-09-30,236
2005-06-30,238
2005-03-31,244
