Goldman Sachs Debt/Equity Ratio Historical Data,Goldman Sachs Debt/Equity Ratio Historical Data,Goldman Sachs Debt/Equity Ratio Historical Data,Goldman Sachs Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,"$1,067.10B",$95.93B,11.12
2020-09-30,"$1,039.41B",$92.65B,11.22
2020-06-30,"$1,051.49B",$90.03B,11.68
2020-03-31,$997.38B,$92.38B,10.8
2019-12-31,$902.70B,$90.27B,10.0
2019-09-30,$915.31B,$92.01B,9.95
2019-06-30,$854.01B,$90.89B,9.4
2019-03-31,$835.08B,$90.27B,9.25
2018-12-31,$841.61B,$90.19B,9.33
2018-09-30,$870.43B,$86.76B,10.03
2018-06-30,$882.01B,$86.60B,10.19
2018-03-31,$889.96B,$83.58B,10.65
2017-12-31,$834.53B,$82.24B,10.15
2017-09-30,$843.84B,$86.29B,9.78
2017-06-30,$819.84B,$86.68B,9.46
2017-03-31,$807.15B,$86.92B,9.29
2016-12-31,$773.27B,$86.89B,8.9
2016-09-30,$792.88B,$87.11B,9.1
2016-06-30,$810.33B,$86.51B,9.37
2016-03-31,$791.20B,$86.84B,9.11
2015-12-31,$774.67B,$86.73B,8.93
2015-09-30,$792.86B,$87.70B,9.04
2015-06-30,$772.23B,$87.65B,8.81
2015-03-31,$780.33B,$85.13B,9.17
2014-12-31,$773.05B,$82.80B,9.34
2014-09-30,$786.66B,$82.28B,9.56
2014-06-30,$778.29B,$81.63B,9.53
2014-03-31,$836.57B,$79.10B,10.58
2013-12-31,$833.04B,$78.47B,10.62
2013-09-30,$845.61B,$77.62B,10.9
2013-06-30,$860.41B,$78.04B,11.03
2013-03-31,$882.00B,$77.23B,11.42
2012-12-31,$862.84B,$75.72B,11.4
2012-09-30,$875.52B,$73.69B,11.88
2012-06-30,$875.78B,$72.86B,12.02
2012-03-31,$879.28B,$71.66B,12.27
2011-12-31,$852.85B,$70.38B,12.12
2011-09-30,$878.82B,$70.09B,12.54
2011-06-30,$864.55B,$72.36B,11.95
2011-03-31,$860.82B,$72.47B,11.88
2010-12-31,$833.98B,$77.36B,10.78
2010-09-30,$833.02B,$75.66B,11.01
2010-06-30,$809.37B,$73.82B,10.96
2010-03-31,$807.58B,$72.94B,11.07
2009-12-31,$778.23B,$70.71B,11.01
2009-09-30,$816.83B,$65.35B,12.5
2009-06-30,$826.73B,$62.81B,13.16
2009-03-31,$861.74B,$63.55B,13.56
2008-12-31,"$1,049.17B",$63.05B,16.64
2008-11-30,$0.00B,,0.0
2008-08-31,"$1,036.17B",$45.60B,22.72
2008-05-31,"$1,043.33B",$44.82B,23.28
2008-02-29,"$1,146.38B",$42.63B,26.89
2007-11-30,"$1,077.00B",$42.80B,25.16
2007-08-31,"$1,006.66B",$39.12B,25.73
2007-05-31,$904.74B,$38.46B,23.53
2007-02-28,$875.60B,$36.90B,23.73
2006-11-30,$802.42B,$35.79B,22.42
2006-08-31,$764.82B,$33.49B,22.84
2006-05-31,$767.08B,$31.80B,24.12
2006-02-28,$729.91B,$28.92B,25.24
2005-11-30,$678.80B,$28.00B,24.24
2005-08-31,$642.91B,$26.61B,24.16
2005-05-31,$598.08B,$26.40B,22.66
2005-02-28,$570.07B,$26.08B,21.86
