Date,EBITDA
2020-12-31,"$6,039"
2020-09-30,"$4,767"
2020-06-30,"$1,790"
2020-03-31,"$1,785"
2019-12-31,"$2,785"
2019-09-30,"$2,889"
2019-06-30,"$3,526"
2019-03-31,"$3,087"
2018-12-31,"$3,085"
2018-09-30,"$3,395"
2018-06-30,"$3,611"
2018-03-31,"$3,718"
2017-12-31,"$3,458"
2017-09-30,"$3,256"
2017-06-30,"$2,774"
2017-03-31,"$2,796"
2016-12-31,"$3,664"
2016-09-30,"$3,115"
2016-06-30,"$2,708"
2016-03-31,"$1,815"
2015-12-31,"$1,357"
2015-09-30,"$2,268"
2015-06-30,"$1,991"
2015-03-31,"$4,153"
2014-12-31,"$3,562"
2014-09-30,"$3,606"
2014-06-30,"$3,115"
2014-03-31,"$3,411"
2013-12-31,"$4,026"
2013-09-30,"$2,447"
2013-06-30,"$2,911"
2013-03-31,"$3,675"
2012-12-31,"$4,813"
2012-09-30,"$2,694"
2012-06-30,"$1,824"
2012-03-31,"$3,614"
2011-12-31,"$1,761"
2011-09-30,$-341
2011-06-30,"$1,984"
2011-03-31,"$4,634"
2010-12-31,"$4,205"
2010-09-30,"$3,169"
2010-06-30,"$1,888"
2010-03-31,"$5,534"
2009-12-31,"$7,771"
2009-09-30,"$5,167"
2009-06-30,"$5,556"
2009-03-31,"$3,278"
2008-12-31,
2008-11-30,
2008-08-31,"$1,352"
2008-05-31,"$3,143"
2008-02-29,"$2,486"
2007-11-30,"$5,386"
2007-08-31,"$4,542"
2007-05-31,"$3,712"
2007-02-28,"$5,131"
2006-11-30,"$5,251"
2006-08-31,"$2,613"
2006-05-31,"$3,783"
2006-02-28,"$3,908"
2005-11-30,"$2,695"
2005-08-31,"$2,615"
2005-05-31,"$1,474"
2005-02-28,"$2,343"
