Date,EPS
2020-12-31,$12.12
2020-09-30,$8.98
2020-06-30,$0.53
2020-03-31,$3.11
2019-12-31,$4.72
2019-09-30,$4.79
2019-06-30,$5.81
2019-03-31,$5.71
2018-12-31,$6.06
2018-09-30,$6.28
2018-06-30,$5.98
2018-03-31,$6.95
2017-12-31,$-5.11
2017-09-30,$5.02
2017-06-30,$3.95
2017-03-31,$5.15
2016-12-31,$5.01
2016-09-30,$4.88
2016-06-30,$3.72
2016-03-31,$2.68
2015-12-31,$1.32
2015-09-30,$2.90
2015-06-30,$1.98
2015-03-31,$5.94
2014-12-31,$4.38
2014-09-30,$4.57
2014-06-30,$4.10
2014-03-31,$4.02
2013-12-31,$4.59
2013-09-30,$2.88
2013-06-30,$3.70
2013-03-31,$4.29
2012-12-31,$5.58
2012-09-30,$2.85
2012-06-30,$1.78
2012-03-31,$3.92
2011-12-31,$1.94
2011-09-30,$-0.84
2011-06-30,$1.85
2011-03-31,$1.56
2010-12-31,$3.83
2010-09-30,$2.98
2010-06-30,$0.78
2010-03-31,$5.59
2009-12-31,$8.56
2009-09-30,$5.25
2009-06-30,$4.93
2009-03-31,$3.39
2008-12-31,$0.00
2008-11-30,$0.00
2008-08-31,$1.81
2008-05-31,$4.58
2008-02-29,$3.23
2007-11-30,$7.00
2007-08-31,$6.13
2007-05-31,$4.93
2007-02-28,$6.67
2006-11-30,$6.57
2006-08-31,$3.26
2006-05-31,$4.78
2006-02-28,$5.08
2005-11-30,$3.31
2005-08-31,$3.25
2005-05-31,$1.71
2005-02-28,$2.94
