Goldman Sachs Price/Book Ratio Historical Data,Goldman Sachs Price/Book Ratio Historical Data,Goldman Sachs Price/Book Ratio Historical Data,Goldman Sachs Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,330.81,,1.19
2020-12-31,262.71,$278.80,0.94
2020-09-30,199.14,$269.28,0.74
2020-06-30,194.63,$261.76,0.74
2020-03-31,151.29,$268.66,0.56
2019-12-31,223.63,$259.87,0.86
2019-09-30,200.42,$257.37,0.78
2019-06-30,196.67,$252.10,0.78
2019-03-31,183.72,$246.13,0.75
2018-12-31,159.21,$245.24,0.65
2018-09-30,213.71,$232.77,0.92
2018-06-30,209.52,$229.17,0.91
2018-03-31,238.41,$221.28,1.08
2017-12-31,240.47,$219.43,1.1
2017-09-30,223.19,$227.62,0.98
2017-06-30,208.1,$223.27,0.93
2017-03-31,214.69,$220.16,0.98
2016-12-31,223.2,$221.31,1.01
2016-09-30,149.87,$218.20,0.69
2016-06-30,137.55,$212.78,0.65
2016-03-31,144.73,$207.96,0.7
2015-12-31,165.45,$206.75,0.8
2015-09-30,158.97,$204.96,0.78
2015-06-30,190.35,$202.54,0.94
2015-03-31,170.84,$197.01,0.87
2014-12-31,175.62,$192.44,0.91
2014-09-30,165.79,$188.82,0.88
2014-06-30,150.76,$185.21,0.81
2014-03-31,147.03,$176.55,0.83
2013-12-31,158.52,$175.79,0.9
2013-09-30,141.03,$175.80,0.8
2013-06-30,134.38,$173.24,0.78
2013-03-31,130.33,$167.60,0.78
2012-12-31,112.6,$162.78,0.69
2012-09-30,99.93,$156.30,0.64
2012-06-30,83.9,$151.47,0.55
2012-03-31,108.34,$144.70,0.75
2011-12-31,78.54,$144.97,0.54
2011-09-30,81.8,$142.28,0.57
2011-06-30,114.79,$142.47,0.81
2011-03-31,136.45,$139.92,0.98
2010-12-31,144.36,$152.42,0.95
2010-09-30,123.84,$147.91,0.84
2010-06-30,112.16,$143.20,0.78
2010-03-31,145.43,$141.86,1.03
2009-12-31,143.59,$137.28,1.05
2009-09-30,156.45,$127.38,1.23
2009-06-30,124.86,$122.99,1.02
2009-03-31,89.56,$137.48,0.65
2008-12-31,70.89,,0.0
2008-11-30,66.36,,0.0
2008-08-31,137.3,$115.58,1.19
2008-05-31,147.43,$113.54,1.3
2008-02-29,141.51,$108.07,1.31
2007-11-30,188.72,$109.55,1.72
2007-08-31,146.34,$98.40,1.49
2007-05-31,191.56,$94.34,2.03
2007-02-28,167.17,$89.71,1.86
2006-11-30,161.14,$86.72,1.86
2006-08-31,122.73,$78.09,1.57
2006-05-31,124.32,$73.76,1.69
2006-02-28,116.12,$67.05,1.73
