Date,Shares
2020-12-31,360.0
2020-09-30,360.0
2020-06-30,356.0
2020-03-31,361.0
2019-12-31,376.0
2019-09-30,374.0
2019-06-30,378.0
2019-03-31,382.0
2018-12-31,390.0
2018-09-30,391.0
2018-06-30,393.0
2018-03-31,394.0
2017-12-31,409.0
2017-09-30,406.0
2017-06-30,413.0
2017-03-31,420.0
2016-12-31,435.0
2016-09-30,430.0
2016-06-30,439.0
2016-03-31,447.0
2015-12-31,459.0
2015-09-30,459.0
2015-06-30,462.0
2015-03-31,463.0
2014-12-31,473.0
2014-09-30,469.0
2014-06-30,476.0
2014-03-31,485.0
2013-12-31,500.0
2013-09-30,496.0
2013-06-30,504.0
2013-03-31,510.0
2012-12-31,516.0
2012-09-30,511.0
2012-06-30,520.0
2012-03-31,529.0
2011-12-31,557.0
2011-09-30,518.0
2011-06-30,570.0
2011-03-31,583.0
2010-12-31,585.0
2010-09-30,583.0
2010-06-30,580.0
2010-03-31,590.0
2009-12-31,551.0
2009-09-30,577.0
2009-06-30,551.0
2009-03-31,489.0
2008-12-31,
2008-11-30,
2008-08-31,448.0
2008-05-31,447.0
2008-02-29,454.0
2007-11-30,461.0
2007-08-31,457.0
2007-05-31,464.0
2007-02-28,472.0
2006-11-30,477.0
2006-08-31,477.0
2006-05-31,478.0
2006-02-28,483.0
2005-11-30,500.0
2005-08-31,494.0
2005-05-31,506.0
2005-02-28,515.0
