Huntington Bancshares Debt/Equity Ratio Historical Data,Huntington Bancshares Debt/Equity Ratio Historical Data,Huntington Bancshares Debt/Equity Ratio Historical Data,Huntington Bancshares Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$110.05B,$12.99B,8.47
2020-09-30,$107.20B,$12.92B,8.3
2020-06-30,$106.11B,$12.31B,8.62
2020-03-31,$102.13B,$11.77B,8.68
2019-12-31,$97.21B,$11.80B,8.24
2019-09-30,$96.83B,$11.91B,8.13
2019-06-30,$96.58B,$11.67B,8.28
2019-03-31,$96.77B,$11.43B,8.47
2018-12-31,$97.68B,$11.10B,8.8
2018-09-30,$94.72B,$10.93B,8.66
2018-06-30,$93.89B,$11.47B,8.18
2018-03-31,$92.94B,$11.31B,8.22
2017-12-31,$93.37B,$10.81B,8.63
2017-09-30,$91.29B,$10.70B,8.53
2017-06-30,$90.75B,$10.65B,8.52
2017-03-31,$89.61B,$10.44B,8.59
2016-12-31,$89.41B,$10.31B,8.67
2016-09-30,$90.38B,$10.39B,8.7
2016-06-30,$66.45B,$7.51B,8.85
2016-03-31,$65.49B,$7.16B,9.15
2015-12-31,$64.42B,$6.60B,9.77
2015-09-30,$63.63B,$6.58B,9.67
2015-06-30,$62.35B,$6.50B,9.6
2015-03-31,$61.54B,$6.46B,9.52
2014-12-31,$59.97B,$6.33B,9.48
2014-09-30,$58.05B,$6.28B,9.24
2014-06-30,$57.56B,$6.24B,9.22
2014-03-31,$54.97B,$6.18B,8.9
2013-12-31,$53.38B,$6.09B,8.76
2013-09-30,$50.69B,$5.96B,8.5
2013-06-30,$50.33B,$5.78B,8.7
2013-03-31,$50.19B,$5.87B,8.55
2012-12-31,$50.36B,$5.79B,8.7
2012-09-30,$50.64B,$5.81B,8.72
2012-06-30,$50.97B,$5.65B,9.02
2012-03-31,$50.33B,$5.55B,9.07
2011-12-31,$49.03B,$5.42B,9.05
2011-09-30,$49.58B,$5.40B,9.18
2011-06-30,$47.80B,$5.25B,9.1
2011-03-31,$47.91B,$5.04B,9.51
2010-12-31,$48.84B,$4.98B,9.81
2010-09-30,$47.68B,$5.57B,8.56
2010-06-30,$46.33B,$5.44B,8.52
2010-03-31,$46.50B,$5.37B,8.66
2009-12-31,$46.22B,$5.34B,8.66
2009-09-30,$46.84B,$5.68B,8.25
2009-06-30,$46.18B,$5.22B,8.85
2009-03-31,$46.89B,$4.82B,9.74
2008-12-31,$47.12B,$7.23B,6.52
2008-09-30,$48.29B,$6.38B,7.57
2008-06-30,$48.95B,$6.38B,7.67
2008-03-31,$50.14B,$5.91B,8.49
2007-12-31,$48.75B,$5.95B,8.19
2007-09-30,$49.05B,$6.25B,7.85
2007-06-30,$33.36B,$3.06B,10.89
2007-03-31,$31.93B,$3.05B,10.46
2006-12-31,$32.32B,$3.01B,10.72
2006-09-30,$32.53B,$3.13B,10.4
2006-06-30,$33.33B,$2.94B,11.34
2006-03-31,$32.59B,$3.08B,10.58
2005-12-31,$30.21B,$2.56B,11.81
2005-09-30,$30.14B,$2.62B,11.49
2005-06-30,$30.36B,$2.63B,11.54
2005-03-31,$29.59B,$2.59B,11.43
