Date,EPS
2020-12-31,$1.47
2020-09-30,$1.26
2020-06-30,$1.29
2020-03-31,$0.74
2019-12-31,$1.50
2019-09-30,$1.43
2019-06-30,$1.02
2019-03-31,$1.71
2018-12-31,$0.52
2018-09-30,$1.19
2018-06-30,$1.60
2018-03-31,$1.64
2017-12-31,$-10.14
2017-09-30,$0.64
2017-06-30,$-0.11
2017-03-31,$1.00
2016-12-31,$-0.18
2016-09-30,$1.12
2016-06-30,$0.54
2016-03-31,$0.79
2015-12-31,$1.02
2015-09-30,$0.90
2015-06-30,$0.96
2015-03-31,$1.08
2014-12-31,$0.88
2014-09-30,$0.86
2014-06-30,$-1.04
2014-03-31,$1.03
2013-12-31,$0.76
2013-09-30,$0.60
2013-06-30,$-0.42
2013-03-31,$-0.58
2012-12-31,$-0.11
2012-09-30,$0.01
2012-06-30,$-0.26
2012-03-31,$0.18
2011-12-31,$0.25
2011-09-30,$0.11
2011-06-30,$0.05
2011-03-31,$0.99
2010-12-31,$1.34
2010-09-30,$1.34
2010-06-30,$0.14
2010-03-31,$-0.42
2009-12-31,$1.69
2009-09-30,$-0.79
2009-06-30,$-0.06
2009-03-31,$-3.77
2008-12-31,$-2.44
2008-09-30,$-8.74
2008-06-30,$1.73
2008-03-31,$0.46
2007-12-31,$1.89
2007-09-30,$2.68
2007-06-30,$1.96
2007-03-31,$2.71
2006-12-31,$2.44
2006-09-30,$2.39
2006-06-30,$1.52
2006-03-31,$2.34
2005-12-31,$1.46
2005-09-30,$1.79
2005-06-30,$1.98
2005-03-31,$2.21
