Hartford Financial Services Price/Book Ratio Historical Data,Hartford Financial Services Price/Book Ratio Historical Data,Hartford Financial Services Price/Book Ratio Historical Data,Hartford Financial Services Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,66.79,,1.29
2020-12-31,48.64,$51.76,0.94
2020-09-30,36.34,$49.69,0.73
2020-06-30,37.7,$47.67,0.79
2020-03-31,34.18,$42.65,0.8
2019-12-31,58.55,$45.25,1.29
2019-09-30,58.12,$44.54,1.3
2019-06-30,53.16,$42.29,1.26
2019-03-31,47.16,$37.25,1.27
2018-12-31,41.91,$36.48,1.15
2018-09-30,46.79,$35.49,1.32
2018-06-30,47.6,$35.01,1.36
2018-03-31,47.73,$36.70,1.3
2017-12-31,51.89,$37.82,1.37
2017-09-30,50.89,$48.20,1.06
2017-06-30,48.06,$47.65,1.01
2017-03-31,43.74,$46.07,0.95
2016-12-31,43.16,$45.20,0.95
2016-09-30,38.59,$49.15,0.79
2016-06-30,39.79,$47.84,0.83
2016-03-31,41.13,$45.78,0.9
2015-12-31,38.6,$43.91,0.88
2015-09-30,40.48,$44.26,0.91
2015-06-30,36.59,$43.78,0.84
2015-03-31,36.65,$45.27,0.81
2014-12-31,36.37,$44.11,0.82
2014-09-30,32.36,$43.44,0.74
2014-06-30,30.96,$43.10,0.72
2014-03-31,30.36,$43.70,0.69
2013-12-31,31.06,$41.71,0.74
2013-09-30,26.57,$42.20,0.63
2013-06-30,26.26,$41.89,0.63
2013-03-31,21.84,$48.05,0.45
2012-12-31,18.92,$51.45,0.37
2012-09-30,16.32,$52.70,0.31
2012-06-30,14.71,$50.42,0.29
2012-03-31,17.49,$48.26,0.36
2011-12-31,13.42,$48.55,0.28
2011-09-30,13.25,$51.13,0.26
2011-06-30,21.53,$48.68,0.44
2011-03-31,21.9,$47.18,0.46
2010-12-31,21.47,$45.69,0.47
2010-09-30,18.56,$47.05,0.39
2010-06-30,17.85,$42.54,0.42
2010-03-31,22.88,$40.19,0.57
2009-12-31,18.69,$46.72,0.4
2009-09-30,21.25,$45.64,0.47
2009-06-30,9.5,$41.20,0.23
2009-03-31,6.26,$24.24,0.26
2008-12-31,13.0,$31.14,0.42
2008-09-30,31.15,$41.81,0.75
2008-06-30,48.66,$55.50,0.88
2008-03-31,56.68,$56.71,1.0
2007-12-31,64.75,$61.19,1.06
2007-09-30,68.34,$60.40,1.13
2007-06-30,72.33,$58.72,1.23
2007-03-31,69.84,$59.59,1.17
2006-12-31,67.82,$58.38,1.16
2006-09-30,62.69,$56.01,1.12
2006-06-30,60.85,$50.58,1.2
2006-03-31,57.67,$50.87,1.13
