Date,Shares
2020-12-31,361
2020-09-30,361
2020-06-30,359
2020-03-31,361
2019-12-31,365
2019-09-30,365
2019-06-30,365
2019-03-31,365
2018-12-31,364
2018-09-30,364
2018-06-30,364
2018-03-31,364
2017-12-31,364
2017-09-30,367
2017-06-30,366
2017-03-31,379
2016-12-31,395
2016-09-30,391
2016-06-30,399
2016-03-31,406
2015-12-31,425
2015-09-30,423
2015-06-30,428
2015-03-31,434
2014-12-31,460
2014-09-30,451
2014-06-30,468
2014-03-31,479
2013-12-31,491
2013-09-30,491
2013-06-30,489
2013-03-31,436
2012-12-31,466
2012-09-30,462
2012-06-30,438
2012-03-31,469
2011-12-31,478
2011-09-30,473
2011-06-30,482
2011-03-31,508
2010-12-31,482
2010-09-30,495
2010-06-30,480
2010-03-31,394
2009-12-31,346
2009-09-30,356
2009-06-30,325
2009-03-31,321
2008-12-31,307
2008-09-30,301
2008-06-30,313
2008-03-31,316
2007-12-31,319
2007-09-30,318
2007-06-30,320
2007-03-31,323
2006-12-31,316
2006-09-30,317
2006-06-30,312
2006-03-31,311
2005-12-31,306
2005-09-30,307
2005-06-30,304
2005-03-31,301
