Horace Mann Educators Debt/Equity Ratio Historical Data,Horace Mann Educators Debt/Equity Ratio Historical Data,Horace Mann Educators Debt/Equity Ratio Historical Data,Horace Mann Educators Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$11.68B,$1.79B,6.53
2020-09-30,$11.29B,$1.72B,6.58
2020-06-30,$10.93B,$1.64B,6.67
2020-03-31,$10.50B,$1.48B,7.1
2019-12-31,$10.91B,$1.57B,6.96
2019-09-30,$10.75B,$1.58B,6.81
2019-06-30,$10.28B,$1.50B,6.86
2019-03-31,$10.14B,$1.42B,7.12
2018-12-31,$9.74B,$1.29B,7.55
2018-09-30,$9.98B,$1.30B,7.65
2018-06-30,$9.81B,$1.35B,7.26
2018-03-31,$9.66B,$1.41B,6.88
2017-12-31,$9.70B,$1.50B,6.46
2017-09-30,$9.65B,$1.39B,6.94
2017-06-30,$9.51B,$1.36B,6.99
2017-03-31,$9.46B,$1.32B,7.16
2016-12-31,$9.28B,$1.29B,7.17
2016-09-30,$9.25B,$1.44B,6.4
2016-06-30,$9.05B,$1.42B,6.38
2016-03-31,$8.90B,$1.34B,6.66
2015-12-31,$8.79B,$1.27B,6.95
2015-09-30,$8.60B,$1.31B,6.58
2015-06-30,$8.66B,$1.31B,6.63
2015-03-31,$8.67B,$1.41B,6.15
2014-12-31,$8.43B,$1.34B,6.31
2014-09-30,$8.36B,$1.29B,6.49
2014-06-30,$8.16B,$1.28B,6.36
2014-03-31,$7.89B,$1.20B,6.58
2013-12-31,$7.73B,$1.10B,7.03
2013-09-30,$7.43B,$1.09B,6.82
2013-06-30,$7.25B,$1.11B,6.55
2013-03-31,$7.20B,$1.26B,5.7
2012-12-31,$6.92B,$1.25B,5.56
2012-09-30,$6.89B,$1.23B,5.59
2012-06-30,$6.68B,$1.14B,5.84
2012-03-31,$6.61B,$1.09B,6.07
2011-12-31,$6.38B,$1.06B,6.05
2011-09-30,$6.28B,$1.06B,5.95
2011-06-30,$6.28B,$0.93B,6.73
2011-03-31,$6.27B,$0.90B,6.97
2010-12-31,$6.12B,$0.88B,6.95
2010-09-30,$6.01B,$0.97B,6.17
2010-06-30,$5.80B,$0.87B,6.64
2010-03-31,$5.82B,$0.78B,7.48
2009-12-31,$5.62B,$0.72B,7.82
2009-09-30,$5.56B,$0.73B,7.64
2009-06-30,$5.27B,$0.56B,9.37
2009-03-31,$5.08B,$0.45B,11.43
2008-12-31,$5.06B,$0.45B,11.27
2008-09-30,$5.33B,$0.46B,11.53
2008-06-30,$5.46B,$0.59B,9.24
2008-03-31,$5.44B,$0.64B,8.46
2007-12-31,$5.57B,$0.69B,8.03
2007-09-30,$5.61B,$0.68B,8.25
2007-06-30,$5.82B,$0.65B,8.93
2007-03-31,$5.79B,$0.68B,8.55
2006-12-31,$5.67B,$0.66B,8.63
2006-09-30,$5.66B,$0.62B,9.18
2006-06-30,$5.47B,$0.54B,10.15
2006-03-31,$5.47B,$0.55B,9.88
2005-12-31,$5.26B,$0.58B,9.06
2005-09-30,$5.44B,$0.59B,9.31
2005-06-30,$5.19B,$0.63B,8.18
2005-03-31,$5.02B,$0.56B,9.0
