Date,EBIT
2020-12-31,$72
2020-09-30,$49
2020-06-30,$41
2020-03-31,$23
2019-12-31,$45
2019-09-30,$35
2019-06-30,$158
2019-03-31,$42
2018-12-31,$-25
2018-09-30,$20
2018-06-30,$10
2018-03-31,$27
2017-12-31,$38
2017-09-30,$36
2017-06-30,$5
2017-03-31,$21
2016-12-31,$30
2016-09-30,$38
2016-06-30,$20
2016-03-31,$38
2015-12-31,$34
2015-09-30,$33
2015-06-30,$26
2015-03-31,$52
2014-12-31,$46
2014-09-30,$39
2014-06-30,$32
2014-03-31,$43
2013-12-31,$52
2013-09-30,$34
2013-06-30,$41
2013-03-31,$42
2012-12-31,$50
2012-09-30,$51
2012-06-30,$22
2012-03-31,$41
2011-12-31,$46
2011-09-30,$36
2011-06-30,$-13
2011-03-31,$40
2010-12-31,$23
2010-09-30,$32
2010-06-30,$34
2010-03-31,$35
2009-12-31,$34
2009-09-30,$31
2009-06-30,$31
2009-03-31,$22
2008-12-31,$18
2008-09-30,$-34
2008-06-30,$8
2008-03-31,$23
2007-12-31,$29
2007-09-30,$29
2007-06-30,$36
2007-03-31,$37
2006-12-31,$44
2006-09-30,$31
2006-06-30,$43
2006-03-31,$35
2005-12-31,$23
2005-09-30,$-6
2005-06-30,$47
2005-03-31,$39
