Horace Mann Educators Price/Book Ratio Historical Data,Horace Mann Educators Price/Book Ratio Historical Data,Horace Mann Educators Price/Book Ratio Historical Data,Horace Mann Educators Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,41.87,,0.97
2020-12-31,41.74,$43.22,0.97
2020-09-30,32.94,$41.45,0.79
2020-06-30,35.9,$39.69,0.9
2020-03-31,35.47,$35.80,0.99
2019-12-31,41.94,$38.01,1.1
2019-09-30,44.22,$38.30,1.15
2019-06-30,38.22,$36.41,1.05
2019-03-31,33.17,$34.60,0.96
2018-12-31,35.01,$31.50,1.11
2018-09-30,41.66,$31.78,1.31
2018-06-30,41.13,$32.93,1.25
2018-03-31,39.17,$34.35,1.14
2017-12-31,40.15,$36.88,1.09
2017-09-30,35.6,$34.20,1.04
2017-06-30,33.95,$33.49,1.01
2017-03-31,36.61,$32.60,1.12
2016-12-31,37.92,$32.15,1.18
2016-09-30,32.27,$35.94,0.9
2016-06-30,29.53,$35.31,0.84
2016-03-31,27.48,$33.11,0.83
2015-12-31,28.53,$31.18,0.92
2015-09-30,28.35,$32.09,0.88
2015-06-30,30.82,$31.73,0.97
2015-03-31,28.77,$34.28,0.84
2014-12-31,27.7,$32.65,0.85
2014-09-30,23.63,$31.51,0.75
2014-06-30,25.72,$31.40,0.82
2014-03-31,23.67,$29.47,0.8
2013-12-31,25.54,$27.14,0.94
2013-09-30,22.83,$27.15,0.84
2013-06-30,19.47,$27.72,0.7
2013-03-31,16.52,$31.81,0.52
2012-12-31,15.66,$31.65,0.49
2012-09-30,14.1,$31.30,0.45
2012-06-30,13.51,$29.05,0.46
2012-03-31,13.51,$27.37,0.49
2011-12-31,10.44,$26.53,0.39
2011-09-30,8.6,$26.44,0.33
2011-06-30,11.67,$23.35,0.5
2011-03-31,12.47,$22.63,0.55
2010-12-31,13.3,$22.19,0.6
2010-09-30,13.03,$24.69,0.53
2010-06-30,11.16,$22.17,0.5
2010-03-31,10.93,$19.84,0.55
2009-12-31,8.97,$18.36,0.49
2009-09-30,9.96,$18.59,0.54
2009-06-30,7.08,$14.34,0.49
2009-03-31,5.91,$11.35,0.52
2008-12-31,6.45,$11.49,0.56
2008-09-30,8.98,$11.82,0.76
2008-06-30,9.71,$15.13,0.64
2008-03-31,12.02,$15.82,0.76
2007-12-31,12.94,$16.41,0.79
2007-09-30,13.39,$15.73,0.85
2007-06-30,14.35,$15.08,0.95
2007-03-31,13.81,$15.70,0.88
2006-12-31,13.5,$15.25,0.89
2006-09-30,12.79,$14.33,0.89
2006-06-30,11.21,$12.53,0.89
2006-03-31,12.35,$12.88,0.96
