Horace Mann Educators ROA - Return on Assets Historical Data,Horace Mann Educators ROA - Return on Assets Historical Data,Horace Mann Educators ROA - Return on Assets Historical Data,Horace Mann Educators ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.13B,$13.47B,1.04%
2020-09-30,$0.12B,$13.00B,0.94%
2020-06-30,$0.11B,$12.57B,0.87%
2020-03-31,$0.17B,$11.97B,1.40%
2019-12-31,$0.18B,$12.48B,1.53%
2019-09-30,$0.13B,$12.33B,1.12%
2019-06-30,$0.12B,$11.78B,1.04%
2019-03-31,$0.03B,$11.56B,0.28%
2018-12-31,$0.02B,$11.03B,0.17%
2018-09-30,$0.16B,$11.28B,1.47%
2018-06-30,$0.18B,$11.16B,1.60%
2018-03-31,$0.17B,$11.07B,1.58%
2017-12-31,$0.17B,$11.20B,1.54%
2017-09-30,$0.06B,$11.04B,0.59%
2017-06-30,$0.06B,$10.88B,0.60%
2017-03-31,$0.07B,$10.78B,0.70%
2016-12-31,$0.08B,$10.58B,0.80%
2016-09-30,$0.09B,$10.69B,0.82%
2016-06-30,$0.08B,$10.47B,0.79%
2016-03-31,$0.08B,$10.23B,0.84%
2015-12-31,$0.09B,$10.06B,0.93%
2015-09-30,$0.10B,$9.90B,1.03%
2015-06-30,$0.11B,$9.97B,1.06%
2015-03-31,$0.11B,$10.07B,1.12%
2014-12-31,$0.10B,$9.77B,1.09%
2014-09-30,$0.11B,$9.64B,1.16%
2014-06-30,$0.11B,$9.45B,1.18%
2014-03-31,$0.11B,$9.08B,1.29%
2013-12-31,$0.11B,$8.83B,1.30%
2013-09-30,$0.11B,$8.52B,1.30%
2013-06-30,$0.12B,$8.36B,1.41%
2013-03-31,$0.10B,$8.46B,1.28%
2012-12-31,$0.10B,$8.17B,1.31%
2012-09-30,$0.11B,$8.12B,1.35%
2012-06-30,$0.10B,$7.82B,1.28%
2012-03-31,$0.07B,$7.70B,0.97%
2011-12-31,$0.07B,$7.44B,0.97%
2011-09-30,$0.05B,$7.34B,0.72%
2011-06-30,$0.05B,$7.21B,0.68%
2011-03-31,$0.08B,$7.17B,1.19%
2010-12-31,$0.08B,$7.00B,1.17%
2010-09-30,$0.09B,$6.98B,1.32%
2010-06-30,$0.09B,$6.67B,1.34%
2010-03-31,$0.08B,$6.60B,1.32%
2009-12-31,$0.07B,$6.34B,1.22%
2009-09-30,$0.07B,$6.29B,1.28%
2009-06-30,$0.02B,$5.83B,0.42%
2009-03-31,$0.01B,$5.53B,0.17%
2008-12-31,$0.01B,$5.51B,0.19%
2008-09-30,$0.01B,$5.79B,0.10%
2008-06-30,$0.06B,$6.05B,0.89%
2008-03-31,$0.07B,$6.08B,1.16%
2007-12-31,$0.08B,$6.26B,1.29%
2007-09-30,$0.09B,$6.30B,1.45%
2007-06-30,$0.09B,$6.48B,1.47%
2007-03-31,$0.10B,$6.47B,1.58%
2006-12-31,$0.10B,$6.33B,1.61%
2006-09-30,$0.09B,$6.28B,1.42%
2006-06-30,$0.07B,$6.00B,1.14%
2006-03-31,$0.07B,$6.03B,1.25%
2005-12-31,$0.08B,$5.84B,1.34%
