Date,EPS
2020-12-31,$1.20
2020-09-30,$0.90
2020-06-30,$-1.36
2020-03-31,$-1.28
2019-12-31,$1.03
2019-09-30,$0.77
2019-06-30,$1.01
2019-03-31,$0.91
2018-12-31,$1.11
2018-09-30,$0.96
2018-06-30,$0.82
2018-03-31,$0.83
2017-12-31,$0.63
2017-09-30,$0.68
2017-06-30,$0.60
2017-03-31,$0.57
2016-12-31,$0.64
2016-09-30,$0.59
2016-06-30,$0.59
2016-03-31,$0.05
2015-12-31,$0.19
2015-09-30,$0.52
2015-06-30,$0.44
2015-03-31,$0.49
2014-12-31,$0.48
2014-09-30,$0.56
2014-06-30,$0.48
2014-03-31,$0.58
2013-12-31,$0.42
2013-09-30,$0.40
2013-06-30,$0.55
2013-03-31,$0.56
2012-12-31,$0.53
2012-09-30,$0.55
2012-06-30,$0.46
2012-03-31,$0.21
2011-12-31,$0.16
2011-09-30,$0.36
2011-06-30,$0.22
2011-03-31,$0.41
2010-12-31,$0.46
2010-09-30,$0.40
2010-06-30,$0.17
2010-03-31,$0.37
2009-12-31,$0.92
2009-09-30,$0.47
2009-06-30,$0.43
2009-03-31,$0.44
2008-12-31,$0.25
2008-09-30,$0.50
2008-06-30,$0.66
2008-03-31,$0.63
2007-12-31,$0.51
2007-09-30,$0.55
2007-06-30,$0.62
2007-03-31,$0.58
2006-12-31,$0.65
2006-09-30,$1.08
2006-06-30,$0.66
2006-03-31,$0.67
2005-12-31,$0.58
2005-09-30,$0.04
2005-06-30,$0.55
2005-03-31,$0.47
