Hancock Whitney Price/Book Ratio Historical Data,Hancock Whitney Price/Book Ratio Historical Data,Hancock Whitney Price/Book Ratio Historical Data,Hancock Whitney Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,42.14,,1.06
2020-12-31,33.8,$39.65,0.85
2020-09-30,18.52,$39.07,0.47
2020-06-30,20.6,$38.41,0.54
2020-03-31,18.77,$39.65,0.47
2019-12-31,41.85,$39.62,1.06
2019-09-30,36.28,$39.49,0.92
2019-06-30,37.66,$38.70,0.97
2019-03-31,37.72,$37.23,1.01
2018-12-31,32.15,$35.98,0.89
2018-09-30,43.82,$34.90,1.26
2018-06-30,42.76,$34.33,1.25
2018-03-31,47.17,$33.96,1.39
2017-12-31,44.96,$33.86,1.33
2017-09-30,43.8,$33.78,1.3
2017-06-30,44.06,$33.21,1.33
2017-03-31,40.75,$32.70,1.25
2016-12-31,38.36,$32.29,1.19
2016-09-30,28.7,$32.09,0.89
2016-06-30,22.94,$31.77,0.72
2016-03-31,19.99,$31.24,0.64
2015-12-31,21.7,$31.14,0.7
2015-09-30,23.13,$31.65,0.73
2015-06-30,27.04,$31.12,0.87
2015-03-31,25.1,$31.14,0.81
2014-12-31,25.6,$30.74,0.83
2014-09-30,26.53,$30.76,0.86
2014-06-30,29.03,$30.45,0.95
2014-03-31,29.91,$29.93,1.0
2013-12-31,29.72,$29.49,1.01
2013-09-30,25.25,$28.49,0.89
2013-06-30,24.02,$28.57,0.84
2013-03-31,24.48,$29.18,0.84
2012-12-31,24.93,$28.91,0.86
2012-09-30,24.15,$28.71,0.84
2012-06-30,23.54,$28.30,0.83
2012-03-31,27.23,$28.02,0.97
2011-12-31,24.35,$27.95,0.87
2011-09-30,20.25,$28.65,0.71
2011-06-30,23.22,$28.18,0.82
2011-03-31,24.43,$24.52,1.0
2010-12-31,25.74,$23.22,1.11
2010-09-30,22.05,$23.47,0.94
2010-06-30,24.25,$23.36,1.04
2010-03-31,30.2,$23.05,1.31
2009-12-31,31.46,$22.74,1.38
2009-09-30,26.82,$20.54,1.31
2009-06-30,23.05,$19.82,1.16
2009-03-31,22.03,$19.66,1.12
2008-12-31,31.73,$19.18,1.65
2008-09-30,35.38,$18.95,1.87
2008-06-30,27.13,$18.27,1.48
2008-03-31,28.85,$18.41,1.57
2007-12-31,26.06,$17.71,1.47
2007-09-30,27.17,$17.55,1.55
2007-06-30,25.31,$17.13,1.48
2007-03-31,29.46,$17.27,1.71
2006-12-31,35.2,$17.09,2.06
2006-09-30,35.52,$16.64,2.13
2006-06-30,36.97,$15.12,2.44
2006-03-31,30.59,$15.06,2.03
