Hancock Whitney ROA - Return on Assets Historical Data,Hancock Whitney ROA - Return on Assets Historical Data,Hancock Whitney ROA - Return on Assets Historical Data,Hancock Whitney ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$-0.05B,$33.64B,-0.14%
2020-09-30,$-0.05B,$33.19B,-0.17%
2020-06-30,$-0.07B,$33.22B,-0.21%
2020-03-31,$0.14B,$31.76B,0.46%
2019-12-31,$0.33B,$30.60B,1.11%
2019-09-30,$0.33B,$30.54B,1.14%
2019-06-30,$0.35B,$28.76B,1.22%
2019-03-31,$0.33B,$28.49B,1.17%
2018-12-31,$0.32B,$28.24B,1.16%
2018-09-30,$0.28B,$28.10B,1.00%
2018-06-30,$0.25B,$27.93B,0.93%
2018-03-31,$0.23B,$27.30B,0.86%
2017-12-31,$0.21B,$27.34B,0.79%
2017-09-30,$0.21B,$26.82B,0.83%
2017-06-30,$0.20B,$26.63B,0.81%
2017-03-31,$0.20B,$25.49B,0.82%
2016-12-31,$0.15B,$23.98B,0.65%
2016-09-30,$0.11B,$23.11B,0.48%
2016-06-30,$0.11B,$23.06B,0.47%
2016-03-31,$0.09B,$22.81B,0.42%
2015-12-31,$0.13B,$22.83B,0.59%
2015-09-30,$0.15B,$21.61B,0.72%
2015-06-30,$0.16B,$21.54B,0.76%
2015-03-31,$0.16B,$20.73B,0.81%
2014-12-31,$0.17B,$20.75B,0.87%
2014-09-30,$0.17B,$19.99B,0.86%
2014-06-30,$0.15B,$19.35B,0.81%
2014-03-31,$0.16B,$19.00B,0.85%
2013-12-31,$0.16B,$19.01B,0.85%
2013-09-30,$0.17B,$18.80B,0.91%
2013-06-30,$0.19B,$18.93B,0.98%
2013-03-31,$0.18B,$19.06B,0.95%
2012-12-31,$0.15B,$19.46B,0.79%
2012-09-30,$0.12B,$18.52B,0.64%
2012-06-30,$0.11B,$18.78B,0.54%
2012-03-31,$0.08B,$19.29B,0.40%
2011-12-31,$0.08B,$19.77B,0.45%
2011-09-30,$0.07B,$19.42B,0.53%
2011-06-30,$0.06B,$19.76B,0.53%
2011-03-31,$0.05B,$8.31B,0.64%
2010-12-31,$0.05B,$8.14B,0.62%
2010-09-30,$0.07B,$8.24B,0.79%
2010-06-30,$0.07B,$8.50B,0.82%
2010-03-31,$0.08B,$8.57B,0.96%
2009-12-31,$0.08B,$8.70B,1.01%
2009-09-30,$0.05B,$6.81B,0.73%
2009-06-30,$0.05B,$7.05B,0.74%
2009-03-31,$0.06B,$7.10B,0.87%
2008-12-31,$0.07B,$7.17B,0.98%
2008-09-30,$0.07B,$6.75B,1.15%
2008-06-30,$0.08B,$6.27B,1.22%
2008-03-31,$0.07B,$6.43B,1.22%
2007-12-31,$0.07B,$6.06B,1.23%
2007-09-30,$0.08B,$5.91B,1.34%
2007-06-30,$0.10B,$5.88B,1.63%
2007-03-31,$0.10B,$5.85B,1.64%
2006-12-31,$0.10B,$5.97B,1.67%
2006-09-30,$0.10B,$6.12B,1.62%
2006-06-30,$0.06B,$6.16B,1.10%
2006-03-31,$0.06B,$6.26B,1.10%
2005-12-31,$0.05B,$5.95B,1.04%
