Date,EBITDA
2020-12-31,"$1,037"
2020-09-30,$807
2020-06-30,$901
2020-03-31,"$1,039"
2019-12-31,$811
2019-09-30,$864
2019-06-30,$837
2019-03-31,$823
2018-12-31,$833
2018-09-30,$750
2018-06-30,$798
2018-03-31,$788
2017-12-31,$723
2017-09-30,$724
2017-06-30,$751
2017-03-31,$716
2016-12-31,$703
2016-09-30,$655
2016-06-30,$697
2016-03-31,$727
2015-12-31,$516
2015-09-30,$534
2015-06-30,$512
2015-03-31,$539
2014-12-31,$476
2014-09-30,$399
2014-06-30,$394
2014-03-31,$457
2013-12-31,$212
2013-09-30,$237
2013-06-30,$258
2013-03-31,$232
2012-12-31,$223
2012-09-30,$228
2012-06-30,$249
2012-03-31,$258
2011-12-31,$221
2011-09-30,$239
2011-06-30,$225
2011-03-31,$238
2010-12-31,$194
2010-09-30,$185
2010-06-30,$208
2010-03-31,$194
2009-12-31,$154
2009-09-30,$169
2009-06-30,$164
2009-03-31,$142
2008-12-31,$124
2008-09-30,$134
2008-06-30,$144
2008-03-31,$155
2007-12-31,$106
2007-09-30,$110
2007-06-30,$84
2007-03-31,$86
2006-12-31,$68
2006-09-30,$69
2006-06-30,$51
2006-03-31,$31
2005-12-31,$26
2005-09-30,$29
2005-06-30,$2
2005-03-31,$16
