Date,EPS
2020-12-31,$0.94
2020-09-30,$0.71
2020-06-30,$0.95
2020-03-31,$1.17
2019-12-31,$0.79
2019-09-30,$0.94
2019-06-30,$0.84
2019-03-31,$0.85
2018-12-31,$1.07
2018-09-30,$0.79
2018-06-30,$0.78
2018-03-31,$0.79
2017-12-31,$2.07
2017-09-30,$0.63
2017-06-30,$0.71
2017-03-31,$0.84
2016-12-31,$0.60
2016-09-30,$0.57
2016-06-30,$0.60
2016-03-31,$0.62
2015-12-31,$0.66
2015-09-30,$0.55
2015-06-30,$0.51
2015-03-31,$0.56
2014-12-31,$0.51
2014-09-30,$0.36
2014-06-30,$0.39
2014-03-31,$0.45
2013-12-31,$-0.53
2013-09-30,$0.38
2013-06-30,$0.42
2013-03-31,$0.37
2012-12-31,$0.35
2012-09-30,$0.36
2012-06-30,$0.39
2012-03-31,$0.40
2011-12-31,$0.34
2011-09-30,$0.36
2011-06-30,$0.33
2011-03-31,$0.35
2010-12-31,$0.27
2010-09-30,$0.26
2010-06-30,$0.27
2010-03-31,$0.27
2009-12-31,$0.23
2009-09-30,$0.24
2009-06-30,$0.19
2009-03-31,$0.20
2008-12-31,$0.13
2008-09-30,$0.21
2008-06-30,$0.24
2008-03-31,$0.26
2007-12-31,$0.18
2007-09-30,$0.19
2007-06-30,$0.15
2007-03-31,$0.16
2006-12-31,$0.16
2006-09-30,$0.15
2006-06-30,$0.10
2006-03-31,$0.07
2005-12-31,$-0.10
2005-09-30,$0.01
2005-06-30,$-0.03
2005-03-31,$0.03
