Date,Shares
2020-12-31,236.0
2020-09-30,237.0
2020-06-30,236.0
2020-03-31,234.0
2019-12-31,263.0
2019-09-30,262.0
2019-06-30,263.0
2019-03-31,268.0
2018-12-31,283.0
2018-09-30,281.0
2018-06-30,286.0
2018-03-31,289.0
2017-12-31,292.0
2017-09-30,291.0
2017-06-30,293.0
2017-03-31,293.0
2016-12-31,301.0
2016-09-30,295.0
2016-06-30,302.0
2016-03-31,313.0
2015-12-31,333.0
2015-09-30,327.0
2015-06-30,336.0
2015-03-31,347.0
2014-12-31,348.0
2014-09-30,347.0
2014-06-30,348.0
2014-03-31,348.0
2013-12-31,283.0
2013-09-30,279.0
2013-06-30,278.0
2013-03-31,277.0
2012-12-31,276.0
2012-09-30,276.0
2012-06-30,274.0
2012-03-31,274.0
2011-12-31,276.0
2011-09-30,275.0
2011-06-30,277.0
2011-03-31,277.0
2010-12-31,280.0
2010-09-30,281.0
2010-06-30,282.0
2010-03-31,281.0
2009-12-31,274.0
2009-09-30,280.0
2009-06-30,271.0
2009-03-31,266.0
2008-12-31,265.0
2008-09-30,265.0
2008-06-30,
2008-03-31,267.0
2007-12-31,271.0
2007-09-30,273.0
2007-06-30,
2007-03-31,279.0
2006-12-31,283.0
2006-09-30,286.0
2006-06-30,
2006-03-31,286.0
2005-12-31,286.0
2005-09-30,
2005-06-30,
2005-03-31,
