Invesco Price/Book Ratio Historical Data,Invesco Price/Book Ratio Historical Data,Invesco Price/Book Ratio Historical Data,Invesco Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,26.32,,0.82
2020-12-31,17.31,$32.26,0.54
2020-09-30,11.21,$31.24,0.36
2020-06-30,10.42,$30.42,0.34
2020-03-31,8.63,$30.38,0.28
2019-12-31,16.8,$31.59,0.53
2019-09-30,15.56,$30.76,0.51
2019-06-30,18.8,$30.44,0.62
2019-03-31,17.48,$22.48,0.78
2018-12-31,14.91,$22.50,0.66
2018-09-30,20.09,$22.66,0.89
2018-06-30,23.04,$22.24,1.04
2018-03-31,27.47,$22.37,1.23
2017-12-31,31.09,$22.00,1.41
2017-09-30,29.56,$21.00,1.41
2017-06-30,29.44,$20.09,1.47
2017-03-31,25.39,$19.26,1.32
2016-12-31,24.94,$18.85,1.32
2016-09-30,25.47,$19.15,1.33
2016-06-30,20.61,$18.86,1.09
2016-03-31,24.59,$19.08,1.29
2015-12-31,26.49,$20.83,1.27
2015-09-30,24.5,$20.89,1.17
2015-06-30,29.2,$21.19,1.38
2015-03-31,30.71,$20.60,1.49
2014-12-31,30.38,$21.21,1.43
2014-09-30,30.17,$21.21,1.42
2014-06-30,28.66,$21.60,1.33
2014-03-31,27.9,$20.58,1.36
2013-12-31,27.27,$20.73,1.32
2013-09-30,23.74,$20.58,1.15
2013-06-30,23.49,$19.77,1.19
2013-03-31,21.26,$19.88,1.07
2012-12-31,19.03,$20.50,0.93
2012-09-30,18.09,$20.71,0.87
2012-06-30,16.25,$20.48,0.79
2012-03-31,19.02,$20.38,0.93
2011-12-31,14.26,$20.49,0.7
2011-09-30,10.94,$19.88,0.55
2011-06-30,16.38,$20.40,0.8
2011-03-31,17.81,$20.37,0.87
2010-12-31,16.69,$20.35,0.82
2010-09-30,14.66,$19.15,0.77
2010-06-30,11.55,$18.84,0.61
2010-03-31,14.95,$18.34,0.82
2009-12-31,15.94,$17.67,0.9
2009-09-30,15.38,$17.31,0.89
2009-06-30,11.98,$15.68,0.76
2009-03-31,9.25,$14.92,0.62
2008-12-31,9.55,$15.46,0.62
2008-09-30,13.76,$14.92,0.92
2008-06-30,15.67,$15.67,1.0
2008-03-31,15.86,$15.40,1.03
2007-12-31,20.24,$15.52,1.3
2007-09-30,17.61,$5.98,2.94
2007-06-30,16.56,,0.0
2007-03-31,14.04,,0.0
2006-12-31,15.66,$7.24,2.16
2006-09-30,13.92,,0.0
2006-06-30,11.66,,0.0
2006-03-31,11.89,,0.0
