Date,EBIT
2020-11-30,$513
2020-08-31,$495
2020-05-31,$179
2020-02-29,$306
2019-11-30,$229
2019-08-31,$16
2019-05-31,$245
2019-02-28,$97
2018-11-30,$229
2018-09-30,$327
2018-06-30,$73
2018-05-31,$73
2018-03-31,$140
2018-02-28,$69
2017-12-31,$191
2017-11-30,$191
2017-09-30,$64
2017-06-30,$102
2017-03-31,$600
2016-12-31,$-76
2016-09-30,$277
2016-06-30,$154
2016-03-31,$-259
2015-12-31,$88
2015-09-30,$-220
2015-06-30,$61
2015-03-31,$633
2014-12-31,$23
2014-09-30,$175
2014-06-30,$166
2014-03-31,$215
2013-12-31,$130
2013-09-30,$85
2013-06-30,$103
2013-03-31,$344
2012-12-31,"$1,134"
2012-09-30,$193
2012-06-30,$-266
2012-03-31,$385
2011-12-31,$-555
2011-09-30,$44
2011-06-30,$547
2011-03-31,$109
2010-12-31,$343
2010-09-30,$-27
2010-06-30,$112
2010-03-31,$79
2009-12-31,$39
2009-09-30,$-6
2009-06-30,$-98
2009-03-31,$-48
2008-12-31,
2008-09-30,$-72
2008-06-30,$1
2008-03-31,$3
2007-12-31,$-42
2007-09-30,$17
2007-06-30,$63
2007-03-31,$11
2006-12-31,$4
2006-09-30,$17
2006-06-30,$63
2006-03-31,$129
2005-12-31,$-10
2005-09-30,$103
2005-06-30,$46
2005-03-31,$0
