Jefferies Financial Group ROA - Return on Assets Historical Data,Jefferies Financial Group ROA - Return on Assets Historical Data,Jefferies Financial Group ROA - Return on Assets Historical Data,Jefferies Financial Group ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-11-30,$0.77B,$53.12B,1.49%
2020-08-31,$0.66B,$51.77B,1.29%
2020-05-31,$0.40B,$50.28B,0.80%
2020-02-29,$1.03B,$51.78B,2.07%
2019-11-30,$0.96B,$49.46B,1.96%
2019-08-31,$0.74B,$49.26B,1.53%
2019-05-31,$0.89B,$48.52B,1.84%
2019-02-28,$0.94B,$48.96B,1.94%
2018-11-30,$1.63B,$47.13B,4.47%
2018-09-30,$1.77B,$48.95B,4.80%
2018-06-30,$1.70B,$49.40B,6.92%
2018-05-31,$0.70B,$0.00B,2.93%
2018-03-31,$-0.29B,$49.00B,-1.22%
2018-02-28,$-0.32B,$0.00B,-1.35%
2017-12-31,$-0.39B,$47.17B,-1.08%
2017-11-30,$0.17B,$0.00B,0.47%
2017-09-30,$0.58B,$47.67B,1.23%
2017-06-30,$0.63B,$48.38B,1.36%
2017-03-31,$0.63B,$45.98B,1.38%
2016-12-31,$0.13B,$45.07B,0.28%
2016-09-30,$0.04B,$46.11B,0.10%
2016-06-30,$-0.28B,$45.04B,-0.61%
2016-03-31,$-0.32B,$43.13B,-0.67%
2015-12-31,$0.28B,$46.33B,0.56%
2015-09-30,$0.21B,$50.51B,0.41%
2015-06-30,$0.44B,$52.56B,0.84%
2015-03-31,$0.49B,$52.32B,0.94%
2014-12-31,$0.20B,$52.62B,0.39%
2014-09-30,$0.22B,$52.73B,0.44%
2014-06-30,$0.17B,$51.41B,0.35%
2014-03-31,$0.16B,$51.13B,0.33%
2013-12-31,$0.37B,$47.87B,0.79%
2013-09-30,$0.82B,$45.54B,2.20%
2013-06-30,$0.92B,$46.18B,3.29%
2013-03-31,$0.67B,$47.35B,3.61%
2012-12-31,$0.86B,$9.35B,9.59%
2012-09-30,$0.52B,$8.74B,5.84%
2012-06-30,$0.12B,$8.60B,1.39%
2012-03-31,$0.51B,$8.99B,5.67%
2011-12-31,$0.03B,$9.26B,0.28%
2011-09-30,$1.60B,$8.22B,17.80%
2011-06-30,$2.18B,$9.19B,24.86%
2011-03-31,$1.76B,$9.22B,21.78%
2010-12-31,$1.94B,$9.35B,25.79%
2010-09-30,$0.15B,$7.31B,2.23%
2010-06-30,$0.24B,$6.43B,3.51%
2010-03-31,$0.88B,$6.99B,13.34%
2009-12-31,$0.55B,$6.76B,8.96%
2009-09-30,$-2.08B,$6.62B,-36.11%
2009-06-30,$-2.36B,$6.05B,-38.04%
2009-03-31,$-2.58B,$5.11B,-36.35%
2008-12-31,$-2.54B,$5.20B,-32.51%
2008-09-30,$0.63B,$8.41B,7.34%
2008-06-30,$0.54B,$9.67B,6.55%
2008-03-31,$0.38B,$7.93B,5.11%
2007-12-31,$0.48B,$8.13B,6.95%
2007-09-30,$0.05B,$7.32B,0.78%
2007-06-30,$0.11B,$6.38B,1.83%
2007-03-31,$0.12B,$6.02B,2.10%
2006-12-31,$0.19B,$5.30B,3.52%
2006-09-30,$0.44B,$5.22B,8.15%
2006-06-30,$0.48B,$5.54B,8.63%
2006-03-31,$1.71B,$5.38B,30.18%
2005-12-31,$1.64B,$5.26B,29.61%
