Date,Shares
2020-11-30,290
2020-08-31,285
2020-05-31,287
2020-02-29,308
2019-11-30,317
2019-08-31,312
2019-05-31,313
2019-02-28,319
2018-11-30,351
2018-09-30,350
2018-06-30,356
2018-05-31,356
2018-03-31,373
2018-02-28,373
2017-12-31,371
2017-11-30,371
2017-09-30,370
2017-06-30,372
2017-03-31,376
2016-12-31,372
2016-09-30,375
2016-06-30,373
2016-03-31,372
2015-12-31,372
2015-09-30,373
2015-06-30,374
2015-03-31,378
2014-12-31,373
2014-09-30,373
2014-06-30,373
2014-03-31,377
2013-12-31,348
2013-09-30,368
2013-06-30,368
2013-03-31,282
2012-12-31,249
2012-09-30,249
2012-06-30,245
2012-03-31,249
2011-12-31,245
2011-09-30,245
2011-06-30,249
2011-03-31,245
2010-12-31,248
2010-09-30,248
2010-06-30,243
2010-03-31,248
2009-12-31,248
2009-09-30,248
2009-06-30,248
2009-03-31,238
2008-12-31,230
2008-09-30,249
2008-06-30,247
2008-03-31,223
2007-12-31,235
2007-09-30,219
2007-06-30,217
2007-03-31,217
2006-12-31,219
2006-09-30,232
2006-06-30,232
2006-03-31,232
2005-12-31,216
2005-09-30,231
2005-06-30,231
2005-03-31,215
