KeyCorp ROA - Return on Assets Historical Data,KeyCorp ROA - Return on Assets Historical Data,KeyCorp ROA - Return on Assets Historical Data,KeyCorp ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$1.24B,$170.34B,0.74%
2020-09-30,$1.12B,$170.54B,0.70%
2020-06-30,$1.11B,$171.19B,0.72%
2020-03-31,$1.35B,$156.20B,0.91%
2019-12-31,$1.62B,$144.99B,1.12%
2019-09-30,$1.64B,$146.69B,1.15%
2019-06-30,$1.72B,$144.55B,1.22%
2019-03-31,$1.78B,$141.52B,1.28%
2018-12-31,$1.80B,$139.61B,1.30%
2018-09-30,$1.52B,$138.81B,1.10%
2018-06-30,$1.40B,$137.79B,1.02%
2018-03-31,$1.33B,$137.05B,0.97%
2017-12-31,$1.23B,$137.70B,0.90%
2017-09-30,$1.25B,$136.73B,0.92%
2017-06-30,$1.07B,$135.82B,0.79%
2017-03-31,$0.87B,$134.48B,0.68%
2016-12-31,$0.75B,$136.45B,0.64%
2016-09-30,$0.77B,$135.81B,0.71%
2016-06-30,$0.81B,$101.15B,0.83%
2016-03-31,$0.85B,$98.40B,0.89%
2015-12-31,$0.89B,$95.13B,0.94%
2015-09-30,$0.92B,$95.42B,0.97%
2015-06-30,$0.89B,$94.60B,0.95%
2015-03-31,$0.87B,$94.20B,0.94%
2014-12-31,$0.88B,$93.82B,0.96%
2014-09-30,$0.85B,$89.78B,0.94%
2014-06-30,$0.94B,$91.80B,1.03%
2014-03-31,$0.92B,$90.80B,1.01%
2013-12-31,$0.89B,$92.93B,0.98%
2013-09-30,$0.86B,$90.71B,0.95%
2013-06-30,$0.81B,$90.64B,0.91%
2013-03-31,$0.84B,$89.20B,0.96%
2012-12-31,$0.84B,$89.24B,0.96%
2012-09-30,$0.84B,$86.95B,0.96%
2012-06-30,$0.83B,$86.52B,0.94%
2012-03-31,$0.83B,$87.43B,0.94%
2011-12-31,$0.81B,$88.79B,0.91%
2011-09-30,$0.90B,$89.26B,1.00%
2011-06-30,$0.86B,$88.78B,0.95%
2011-03-31,$0.66B,$90.44B,0.71%
2010-12-31,$0.39B,$91.84B,0.42%
2010-09-30,$-0.15B,$94.04B,-0.16%
2010-06-30,$-0.77B,$94.17B,-0.81%
2010-03-31,$-1.19B,$95.30B,-1.24%
2009-12-31,$-1.63B,$93.29B,-1.69%
2009-09-30,$-1.92B,$96.99B,-1.93%
2009-06-30,$-1.53B,$97.79B,-1.52%
2009-03-31,$-2.26B,$97.83B,-2.23%
2008-12-31,$-1.51B,$104.53B,-1.48%
2008-09-30,$-0.93B,$101.29B,-0.93%
2008-06-30,$-0.67B,$101.54B,-0.68%
2008-03-31,$0.79B,$101.49B,0.81%
2007-12-31,$0.92B,$98.23B,0.97%
2007-09-30,$1.04B,$96.14B,1.11%
2007-06-30,$1.14B,$92.97B,1.22%
2007-03-31,$1.12B,$92.26B,1.19%
2006-12-31,$1.06B,$92.34B,1.12%
2006-09-30,$1.21B,$96.16B,1.28%
2006-06-30,$1.17B,$94.79B,1.25%
2006-03-31,$1.15B,$93.39B,1.25%
2005-12-31,$1.13B,$93.13B,1.23%
