Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.660000,5.970000,5.650000,5.940000,4.492187,14901600
2010-01-05,5.880000,6.190000,5.880000,6.170000,4.666124,16660800
2010-01-06,6.170000,6.200000,6.060000,6.130000,4.635876,11785800
2010-01-07,6.070000,6.480000,6.040000,6.390000,4.832500,25554700
2010-01-08,6.350000,6.560000,6.340000,6.500000,4.915690,16513200
2010-01-11,6.500000,6.600000,6.390000,6.530000,4.938378,14836600
2010-01-12,6.460000,6.550000,6.360000,6.410000,4.847626,20207300
2010-01-13,6.440000,6.630000,6.290000,6.490000,4.908128,16226500
2010-01-14,6.440000,6.890000,6.440000,6.850000,5.180381,24101200
2010-01-15,6.790000,6.940000,6.510000,6.880000,5.203069,29510700
2010-01-19,6.820000,6.870000,6.690000,6.760000,5.112319,17897800
2010-01-20,6.680000,6.990000,6.680000,6.960000,5.263569,20676700
2010-01-21,7.360000,7.750000,7.300000,7.340000,5.550948,57005100
2010-01-22,7.160000,7.490000,6.740000,7.250000,5.482886,27104500
2010-01-25,7.430000,7.480000,6.880000,7.060000,5.339195,29787100
2010-01-26,7.100000,7.210000,6.880000,6.890000,5.210632,36998500
2010-01-27,6.870000,7.260000,6.840000,7.150000,5.407260,23381300
2010-01-28,7.260000,7.480000,7.200000,7.270000,5.498011,27513800
2010-01-29,7.330000,7.490000,7.140000,7.180000,5.429948,17818300
2010-02-01,7.230000,7.370000,7.130000,7.340000,5.550948,17914300
2010-02-02,7.280000,7.540000,7.280000,7.520000,5.687076,29768900
2010-02-03,7.470000,7.470000,7.240000,7.410000,5.603887,30732000
2010-02-04,7.290000,7.350000,6.940000,6.950000,5.256007,30016100
2010-02-05,6.940000,7.040000,6.630000,6.890000,5.210632,35451500
2010-02-08,6.910000,6.990000,6.660000,6.820000,5.157692,25541600
2010-02-09,6.930000,7.030000,6.840000,6.920000,5.233319,12635000
2010-02-10,6.790000,7.000000,6.740000,6.880000,5.203069,24267300
2010-02-11,6.880000,6.930000,6.800000,6.870000,5.195506,9413300
2010-02-12,6.780000,6.820000,6.680000,6.790000,5.135005,9090700
2010-02-16,6.860000,6.960000,6.850000,6.920000,5.233319,9443500
2010-02-17,6.960000,6.970000,6.780000,6.830000,5.165257,12498800
2010-02-18,6.800000,6.820000,6.680000,6.740000,5.097192,14011800
2010-02-19,6.700000,6.830000,6.700000,6.790000,5.135005,10628800
2010-02-22,6.780000,6.990000,6.780000,6.970000,5.271131,20247300
2010-02-23,6.930000,6.950000,6.710000,6.740000,5.097192,11928800
2010-02-24,6.770000,7.120000,6.760000,7.110000,5.377009,19088100
2010-02-25,6.950000,7.020000,6.780000,6.990000,5.286258,15527600
