KKR Debt/Equity Ratio Historical Data,KKR Debt/Equity Ratio Historical Data,KKR Debt/Equity Ratio Historical Data,KKR Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$39.01B,$40.80B,0.96
2020-09-30,$36.61B,$34.04B,1.08
2020-06-30,$32.72B,$29.40B,1.11
2020-03-31,$29.01B,$26.59B,1.09
2019-12-31,$30.40B,$30.50B,1.0
2019-09-30,$29.06B,$28.59B,1.02
2019-06-30,$29.24B,$28.28B,1.03
2019-03-31,$25.80B,$26.21B,0.98
2018-12-31,$26.48B,$24.26B,1.09
2018-09-30,$25.28B,$25.07B,1.01
2018-06-30,$25.25B,$23.33B,1.08
2018-03-31,$26.50B,$21.08B,1.26
2017-12-31,$25.78B,$20.05B,1.29
2017-09-30,$25.01B,$19.30B,1.3
2017-06-30,$23.84B,$19.03B,1.25
2017-03-31,$24.13B,$17.51B,1.38
2016-12-31,$22.52B,$16.49B,1.37
2016-09-30,$21.56B,$16.43B,1.31
2016-06-30,$22.16B,$15.34B,1.44
2016-03-31,$19.75B,$14.68B,1.35
2015-12-31,$21.76B,$49.28B,0.44
2015-09-30,$19.72B,$49.34B,0.4
2015-06-30,$19.70B,$52.00B,0.38
2015-03-31,$15.43B,$51.85B,0.3
2014-12-31,$14.47B,$51.40B,0.28
2014-09-30,$14.52B,$51.81B,0.28
2014-06-30,$14.15B,$51.49B,0.28
2014-03-31,$7.52B,$48.88B,0.15
2013-12-31,$5.47B,$45.96B,0.12
2013-09-30,$5.23B,$42.93B,0.12
2013-06-30,$4.48B,$40.32B,0.11
2013-03-31,$4.28B,$41.26B,0.1
2012-12-31,$3.48B,$40.94B,0.09
2012-09-30,$3.48B,$40.17B,0.09
2012-06-30,$3.17B,$39.44B,0.08
2012-03-31,$3.92B,$39.60B,0.1
2011-12-31,$2.97B,$37.41B,0.08
2011-09-30,$2.72B,$35.91B,0.08
2011-06-30,$2.76B,$37.83B,0.07
2011-03-31,$2.57B,$37.30B,0.07
2010-12-31,$2.39B,$36.00B,0.07
2010-09-30,$2.53B,$32.33B,0.08
2010-06-30,$2.11B,$31.71B,0.07
2010-03-31,$0.00B,$0.00B,0.0
2009-12-31,$0.00B,,0.0
2009-09-30,$0.00B,$0.00B,0.0
2009-06-30,$0.00B,$0.00B,0.0
2008-12-31,$0.00B,$0.00B,0.0
