Date,EBIT
2020-12-31,$826
2020-09-30,$802
2020-06-30,$575
2020-03-31,$-905
2019-12-31,$312
2019-09-30,$171
2019-06-30,$371
2019-03-31,$459
2018-12-31,$-416
2018-09-30,$390
2018-06-30,$297
2018-03-31,$36
2017-12-31,$387
2017-09-30,$219
2017-06-30,$386
2017-03-31,$228
2016-12-31,$161
2016-09-30,$176
2016-06-30,$154
2016-03-31,$-146
2015-12-31,$-217
2015-09-30,$-88
2015-06-30,$-298
2015-03-31,$-224
2014-12-31,$-420
2014-09-30,$-160
2014-06-30,$-336
2014-03-31,$-170
2013-12-31,$-355
2013-09-30,$-235
2013-06-30,$-126
2013-03-31,$-288
2012-12-31,$-181
2012-09-30,$-284
2012-06-30,$-236
2012-03-31,$-329
2011-12-31,$-121
2011-09-30,$36
2011-06-30,$-214
2011-03-31,$-192
2010-12-31,$-273
2010-09-30,$-354
2010-06-30,$-344
2010-03-31,$-357
2009-12-31,
2009-09-30,$-44
2009-06-30,$-46
2008-12-31,
