Date,EPS
2020-12-31,$2.65
2020-09-30,$1.79
2020-06-30,$1.24
2020-03-31,$-2.31
2019-12-31,$0.91
2019-09-30,$0.43
2019-06-30,$0.93
2019-03-31,$1.27
2018-12-31,$-0.74
2018-09-30,$1.17
2018-06-30,$1.24
2018-03-31,$0.32
2017-12-31,$0.32
2017-09-30,$0.30
2017-06-30,$0.81
2017-03-31,$0.52
2016-12-31,$0.40
2016-09-30,$0.73
2016-06-30,$0.19
2016-03-31,$-0.73
2015-12-31,$0.08
2015-09-30,$-0.42
2015-06-30,$0.78
2015-03-31,$0.57
2014-12-31,$-0.12
2014-09-30,$0.20
2014-06-30,$0.43
2014-03-31,$0.65
2013-12-31,$0.90
2013-09-30,$0.66
2013-06-30,$0.05
2013-03-31,$0.69
2012-12-31,$0.34
2012-09-30,$0.49
2012-06-30,$0.58
2012-03-31,$0.80
2011-12-31,$0.17
2011-09-30,$-1.09
2011-06-30,$0.18
2011-03-31,$0.75
2010-12-31,$0.87
2010-09-30,$0.04
2010-06-30,$0.15
2010-03-31,$0.56
2009-12-31,$0.00
2009-09-30,$0.00
2009-06-30,$0.00
2008-12-31,$0.00
