KKR Price/Book Ratio Historical Data,KKR Price/Book Ratio Historical Data,KKR Price/Book Ratio Historical Data,KKR Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,51.33,,0.72
2020-12-31,40.37,$71.22,0.57
2020-09-30,34.12,$60.11,0.57
2020-06-30,30.57,$52.57,0.58
2020-03-31,23.11,$31.65,0.73
2019-12-31,28.61,$54.47,0.53
2019-09-30,26.22,$33.93,0.77
2019-06-30,24.56,$33.57,0.73
2019-03-31,22.71,$31.48,0.72
2018-12-31,18.88,$29.09,0.65
2018-09-30,26.09,$30.25,0.86
2018-06-30,23.62,$44.48,0.53
2018-03-31,19.15,$43.08,0.44
2017-12-31,19.72,$41.24,0.48
2017-09-30,18.87,$40.78,0.46
2017-06-30,17.12,$40.49,0.42
2017-03-31,16.62,$38.43,0.43
2016-12-31,13.91,$36.44,0.38
2016-09-30,12.74,$36.82,0.35
2016-06-30,10.9,$34.39,0.32
2016-03-31,12.83,$32.90,0.39
2015-12-31,13.45,$107.63,0.12
2015-09-30,14.2,$108.86,0.13
2015-06-30,19.01,$115.45,0.16
2015-03-31,18.6,$118.37,0.16
2014-12-31,18.65,$118.63,0.16
2014-09-30,17.55,$122.19,0.14
2014-06-30,18.6,$123.93,0.15
2014-03-31,17.13,$162.75,0.11
2013-12-31,17.9,$159.49,0.11
2013-09-30,14.98,$150.62,0.1
2013-06-30,14.03,$145.14,0.1
2013-03-31,13.6,$157.61,0.09
2012-12-31,10.32,$161.60,0.06
2012-09-30,10.08,$166.39,0.06
2012-06-30,8.52,$165.60,0.05
2012-03-31,9.69,$170.91,0.06
2011-12-31,8.21,$164.69,0.05
2011-09-30,6.6,$161.09,0.04
2011-06-30,10.26,$170.00,0.06
2011-03-31,10.19,$172.42,0.06
2010-12-31,8.68,$169.20,0.05
2010-09-30,6.4,$157.79,0.04
