Date,Shares
2020-12-31,584.0
2020-09-30,589.0
2020-06-30,566.0
2020-03-31,559.0
2019-12-31,558.0
2019-09-30,560.0
2019-06-30,555.0
2019-03-31,550.0
2018-12-31,532.0
2018-09-30,546.0
2018-06-30,549.0
2018-03-31,536.0
2017-12-31,520.0
2017-09-30,507.0
2017-06-30,501.0
2017-03-31,497.0
2016-12-31,483.0
2016-09-30,480.0
2016-06-30,482.0
2016-03-31,450.0
2015-12-31,483.0
2015-09-30,452.0
2015-06-30,483.0
2015-03-31,472.0
2014-12-31,412.0
2014-09-30,452.0
2014-06-30,410.0
2014-03-31,325.0
2013-12-31,300.0
2013-09-30,308.0
2013-06-30,298.0
2013-03-31,282.0
2012-12-31,254.0
2012-09-30,258.0
2012-06-30,253.0
2012-03-31,238.0
2011-12-31,223.0
2011-09-30,223.0
2011-06-30,220.0
2011-03-31,214.0
2010-12-31,206.0
2010-09-30,205.0
2010-06-30,205.0
2010-03-31,205.0
2009-12-31,
2009-09-30,
2009-06-30,
2008-12-31,
