Date,EPS
2020-12-31,$1.45
2020-09-30,$1.83
2020-06-30,$1.91
2020-03-31,$0.95
2019-12-31,$1.86
2019-09-30,$1.91
2019-06-30,$1.84
2019-03-31,$2.35
2018-12-31,$0.07
2018-09-30,$1.40
2018-06-30,$0.73
2018-03-31,$1.02
2017-12-31,$0.71
2017-09-30,$0.92
2017-06-30,$0.71
2017-03-31,$-0.01
2016-12-31,$0.61
2016-09-30,$-0.32
2016-06-30,$0.08
2016-03-31,$-0.04
2015-12-31,$0.09
2015-09-30,$0.73
2015-06-30,$0.57
2015-03-31,$0.26
2014-12-31,$1.23
2014-09-30,$0.09
2014-06-30,$0.17
2014-03-31,$0.63
2013-12-31,$0.98
2013-09-30,$1.23
2013-06-30,$0.59
2013-03-31,$1.00
2012-12-31,$0.03
2012-09-30,$0.95
2012-06-30,$0.04
2012-03-31,$0.72
2011-12-31,$0.42
2011-09-30,$0.03
2011-06-30,$-0.06
2011-03-31,$0.84
2010-12-31,$0.91
2010-09-30,$0.58
2010-06-30,$0.61
2010-03-31,$0.77
2009-12-31,$1.06
2009-09-30,$1.00
2009-06-30,$0.67
2009-03-31,$-0.09
2008-12-31,$-0.16
2008-09-30,$-0.72
2008-06-30,$0.17
2008-03-31,$0.24
2007-12-31,$0.11
2007-09-30,$0.98
2007-06-30,$0.94
2007-03-31,$1.08
2006-12-31,$0.96
2006-09-30,$1.27
2006-06-30,$1.01
2006-03-31,$0.96
2005-12-31,$1.25
2005-09-30,$0.32
2005-06-30,$1.12
2005-03-31,$0.98
