Kemper ROA - Return on Assets Historical Data,Kemper ROA - Return on Assets Historical Data,Kemper ROA - Return on Assets Historical Data,Kemper ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.41B,$14.34B,2.99%
2020-09-30,$0.44B,$14.09B,3.27%
2020-06-30,$0.44B,$13.49B,3.40%
2020-03-31,$0.44B,$12.93B,3.43%
2019-12-31,$0.53B,$12.99B,4.20%
2019-09-30,$0.41B,$12.82B,3.36%
2019-06-30,$0.38B,$12.62B,3.13%
2019-03-31,$0.29B,$12.18B,2.63%
2018-12-31,$0.19B,$11.55B,1.89%
2018-09-30,$0.22B,$11.77B,2.37%
2018-06-30,$0.18B,$8.84B,2.09%
2018-03-31,$0.18B,$8.37B,2.12%
2017-12-31,$0.12B,$8.38B,1.47%
2017-09-30,$0.12B,$8.30B,1.40%
2017-06-30,$0.05B,$8.21B,0.63%
2017-03-31,$0.02B,$8.31B,0.23%
2016-12-31,$0.02B,$8.21B,0.21%
2016-09-30,$-0.01B,$8.39B,-0.11%
2016-06-30,$0.05B,$8.31B,0.55%
2016-03-31,$0.07B,$8.17B,0.88%
2015-12-31,$0.09B,$8.04B,1.09%
2015-09-30,$0.15B,$8.08B,1.85%
2015-06-30,$0.11B,$8.06B,1.44%
2015-03-31,$0.09B,$7.89B,1.18%
2014-12-31,$0.11B,$7.83B,1.44%
2014-09-30,$0.10B,$7.91B,1.32%
2014-06-30,$0.17B,$7.97B,2.16%
2014-03-31,$0.19B,$7.94B,2.49%
2013-12-31,$0.22B,$7.66B,2.78%
2013-09-30,$0.16B,$7.75B,2.07%
2013-06-30,$0.15B,$7.82B,1.87%
2013-03-31,$0.12B,$8.06B,1.47%
2012-12-31,$0.10B,$8.01B,1.30%
2012-09-30,$0.13B,$8.12B,1.57%
2012-06-30,$0.07B,$8.01B,0.90%
2012-03-31,$0.07B,$7.97B,0.83%
2011-12-31,$0.08B,$7.94B,0.92%
2011-09-30,$0.11B,$8.20B,1.30%
2011-06-30,$0.14B,$8.18B,1.69%
2011-03-31,$0.18B,$8.23B,2.16%
2010-12-31,$0.18B,$8.36B,2.10%
2010-09-30,$0.19B,$8.54B,2.20%
2010-06-30,$0.21B,$8.51B,2.49%
2010-03-31,$0.22B,$8.51B,2.52%
2009-12-31,$0.16B,$8.57B,1.88%
2009-09-30,$0.09B,$8.76B,0.99%
2009-06-30,$-0.02B,$8.73B,-0.22%
2009-03-31,$-0.05B,$8.88B,-0.56%
2008-12-31,$-0.03B,$8.82B,-0.33%
2008-09-30,$-0.01B,$9.21B,-0.13%
2008-06-30,$0.10B,$9.43B,1.03%
2008-03-31,$0.15B,$9.28B,1.56%
2007-12-31,$0.21B,$9.39B,2.15%
2007-09-30,$0.26B,$9.58B,2.77%
2007-06-30,$0.29B,$9.76B,3.02%
2007-03-31,$0.29B,$9.41B,3.15%
2006-12-31,$0.29B,$9.32B,3.09%
2006-09-30,$0.31B,$9.37B,3.33%
2006-06-30,$0.25B,$9.16B,2.66%
2006-03-31,$0.25B,$9.26B,2.76%
2005-12-31,$0.26B,$9.20B,2.81%
