Loews Price/Book Ratio Historical Data,Loews Price/Book Ratio Historical Data,Loews Price/Book Ratio Historical Data,Loews Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,53.61,,0.75
2020-12-31,44.96,$71.25,0.63
2020-09-30,34.66,$67.70,0.51
2020-06-30,34.14,$65.66,0.52
2020-03-31,34.61,$68.14,0.51
2019-12-31,52.1,$75.37,0.69
2019-09-30,51.03,$74.39,0.69
2019-06-30,54.12,$74.01,0.73
2019-03-31,47.39,$71.69,0.66
2018-12-31,44.95,$68.53,0.66
2018-09-30,49.54,$69.49,0.71
2018-06-30,47.56,$69.03,0.69
2018-03-31,48.92,$78.86,0.62
2017-12-31,49.15,$73.97,0.66
2017-09-30,46.96,$72.37,0.65
2017-06-30,45.87,$71.62,0.64
2017-03-31,45.77,$70.49,0.65
2016-12-31,45.77,$69.40,0.66
2016-09-30,40.16,$69.46,0.58
2016-06-30,40.04,$68.26,0.59
2016-03-31,37.23,$68.21,0.55
2015-12-31,37.3,$67.11,0.56
2015-09-30,35.05,$67.68,0.52
2015-06-30,37.28,$66.55,0.56
2015-03-31,39.47,$66.31,0.6
2014-12-31,40.56,$66.10,0.61
2014-09-30,40.15,$66.46,0.6
2014-06-30,42.35,$66.20,0.64
2014-03-31,42.33,$64.92,0.65
2013-12-31,46.29,$64.32,0.72
2013-09-30,44.79,$64.11,0.7
2013-06-30,42.49,$63.51,0.67
2013-03-31,42.12,$63.40,0.66
2012-12-31,38.83,$62.98,0.62
2012-09-30,39.26,$63.17,0.62
2012-06-30,38.87,$61.28,0.63
2012-03-31,37.82,$60.78,0.62
2011-12-31,35.65,$58.54,0.61
2011-09-30,32.66,$59.30,0.55
2011-06-30,39.72,$58.00,0.68
2011-03-31,40.61,$57.14,0.71
2010-12-31,36.61,$55.74,0.66
2010-09-30,35.6,$56.46,0.63
2010-06-30,31.24,$54.34,0.57
2010-03-31,34.89,$52.40,0.67
2009-12-31,33.96,$49.60,0.68
2009-09-30,31.95,$49.20,0.65
2009-06-30,25.51,$43.23,0.59
2009-03-31,20.53,$38.83,0.53
2008-12-31,26.16,$39.38,0.66
2008-09-30,36.49,$36.10,1.01
2008-06-30,43.27,$38.46,1.12
2008-03-31,37.06,$27.04,1.37
2007-12-31,46.32,$33.21,1.39
2007-09-30,44.43,$27.08,1.64
2007-06-30,46.78,$26.57,1.76
2007-03-31,41.63,$26.21,1.59
2006-12-31,37.95,$25.29,1.5
2006-09-30,34.63,$24.41,1.42
2006-06-30,32.34,$21.96,1.47
2006-03-31,30.71,$16.83,1.83
