Loews ROA - Return on Assets Historical Data,Loews ROA - Return on Assets Historical Data,Loews ROA - Return on Assets Historical Data,Loews ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$-0.93B,$80.24B,-1.17%
2020-09-30,$-1.11B,$79.46B,-1.39%
2020-06-30,$-1.18B,$78.44B,-1.46%
2020-03-31,$-0.09B,$79.25B,-0.12%
2019-12-31,$0.93B,$82.24B,1.14%
2019-09-30,$0.55B,$82.50B,0.68%
2019-06-30,$0.76B,$82.28B,0.95%
2019-03-31,$0.74B,$80.45B,0.93%
2018-12-31,$0.64B,$78.32B,0.80%
2018-09-30,$1.28B,$78.73B,1.60%
2018-06-30,$1.16B,$80.73B,1.45%
2018-03-31,$1.16B,$80.79B,1.46%
2017-12-31,$1.16B,$79.59B,1.48%
2017-09-30,$0.97B,$79.53B,1.25%
2017-06-30,$1.14B,$79.10B,1.47%
2017-03-31,$0.85B,$77.11B,1.09%
2016-12-31,$0.65B,$76.59B,0.84%
2016-09-30,$0.16B,$78.51B,0.21%
2016-06-30,$0.02B,$79.18B,0.02%
2016-03-31,$0.25B,$77.22B,0.33%
2015-12-31,$0.26B,$76.01B,0.34%
2015-09-30,$0.67B,$77.53B,0.86%
2015-06-30,$0.70B,$78.02B,0.89%
2015-03-31,$0.64B,$78.62B,0.81%
2014-12-31,$0.59B,$78.37B,0.74%
2014-09-30,$0.19B,$78.53B,0.23%
2014-06-30,$0.26B,$82.89B,0.32%
2014-03-31,$0.41B,$81.80B,0.51%
2013-12-31,$0.60B,$79.94B,0.74%
2013-09-30,$0.76B,$79.51B,0.95%
2013-06-30,$0.66B,$80.05B,0.82%
2013-03-31,$0.44B,$80.61B,0.56%
2012-12-31,$0.57B,$80.02B,0.72%
2012-09-30,$0.87B,$79.55B,1.13%
2012-06-30,$0.86B,$77.33B,1.12%
2012-03-31,$1.05B,$77.24B,1.38%
2011-12-31,$1.06B,$75.27B,1.40%
2011-09-30,$1.26B,$76.31B,1.65%
2011-06-30,$1.13B,$76.07B,1.48%
2011-03-31,$1.25B,$75.97B,1.64%
2010-12-31,$1.29B,$76.28B,1.70%
2010-09-30,$1.23B,$76.82B,1.62%
2010-06-30,$1.66B,$75.06B,2.21%
2010-03-31,$1.63B,$75.86B,2.20%
2009-12-31,$0.56B,$74.07B,0.78%
2009-09-30,$-0.80B,$75.11B,-1.11%
2009-06-30,$-1.40B,$71.63B,-1.97%
2009-03-31,$3.12B,$69.67B,4.33%
2008-12-31,$4.32B,$69.87B,5.86%
2008-09-30,$5.79B,$73.42B,7.69%
2008-06-30,$6.34B,$74.78B,8.26%
2008-03-31,$1.99B,$76.89B,2.55%
2007-12-31,$2.08B,$76.12B,2.68%
2007-09-30,$2.32B,$78.97B,2.97%
2007-06-30,$2.43B,$79.54B,3.14%
2007-03-31,$2.39B,$76.74B,3.17%
2006-12-31,$2.21B,$76.88B,2.99%
2006-09-30,$1.51B,$75.78B,2.09%
2006-06-30,$1.23B,$71.71B,1.70%
2006-03-31,$1.14B,$71.33B,1.56%
2005-12-31,$0.96B,$70.91B,1.31%
