Lincoln National Debt/Equity Ratio Historical Data,Lincoln National Debt/Equity Ratio Historical Data,Lincoln National Debt/Equity Ratio Historical Data,Lincoln National Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$343.25B,$22.70B,15.12
2020-09-30,$326.26B,$21.55B,15.14
2020-06-30,$318.93B,$20.73B,15.38
2020-03-31,$302.07B,$16.58B,18.23
2019-12-31,$315.07B,$19.69B,16.0
2019-09-30,$305.28B,$20.00B,15.27
2019-06-30,$303.80B,$18.46B,16.46
2019-03-31,$297.88B,$16.42B,18.15
2018-12-31,$283.80B,$14.35B,19.78
2018-09-30,$288.78B,$15.07B,19.16
2018-06-30,$283.66B,$15.18B,18.69
2018-03-31,$263.25B,$15.99B,16.47
2017-12-31,$264.44B,$17.32B,15.27
2017-09-30,$260.47B,$16.31B,15.97
2017-06-30,$255.66B,$16.00B,15.98
2017-03-31,$252.50B,$14.97B,16.86
2016-12-31,$247.15B,$14.48B,17.07
2016-09-30,$250.28B,$16.32B,15.33
2016-06-30,$247.11B,$15.92B,15.52
2016-03-31,$241.06B,$14.66B,16.45
2015-12-31,$238.29B,$13.62B,17.5
2015-09-30,$235.13B,$14.40B,16.33
2015-06-30,$240.52B,$14.70B,16.36
2015-03-31,$242.26B,$16.22B,14.93
2014-12-31,$237.64B,$15.74B,15.1
2014-09-30,$232.99B,$15.45B,15.08
2014-06-30,$233.67B,$15.45B,15.12
2014-03-31,$227.46B,$14.49B,15.7
2013-12-31,$223.49B,$13.45B,16.61
2013-09-30,$216.54B,$13.39B,16.17
2013-06-30,$210.00B,$13.32B,15.77
2013-03-31,$209.48B,$14.86B,14.1
2012-12-31,$203.90B,$14.97B,13.62
2012-09-30,$200.22B,$15.24B,13.14
2012-06-30,$196.93B,$14.18B,13.89
2012-03-31,$194.76B,$13.26B,14.69
2011-12-31,$188.39B,$13.10B,14.38
2011-09-30,$182.83B,$14.92B,12.26
2011-06-30,$187.97B,$13.59B,13.84
2011-03-31,$185.23B,$13.09B,14.15
2010-12-31,$181.02B,$12.81B,14.14
2010-09-30,$176.93B,$13.56B,13.05
2010-06-30,$167.49B,$12.64B,13.25
2010-03-31,$169.25B,$12.37B,13.69
2009-12-31,$165.73B,$11.70B,14.17
2009-09-30,$169.83B,$11.66B,14.57
2009-06-30,$157.97B,$9.08B,17.41
2009-03-31,$150.10B,$7.32B,20.5
2008-12-31,$155.16B,$7.98B,19.45
2008-09-30,$163.77B,$9.50B,17.24
2008-06-30,$173.78B,$10.50B,16.55
2008-03-31,$174.26B,$11.09B,15.72
2007-12-31,$179.72B,$11.72B,15.34
2007-09-30,$180.25B,$11.96B,15.07
2007-06-30,$175.81B,$11.84B,14.85
2007-03-31,$169.29B,$12.03B,14.07
2006-12-31,$166.29B,$12.20B,13.63
2006-09-30,$159.68B,$12.04B,13.26
2006-06-30,$155.98B,$11.40B,13.68
2006-03-31,$122.06B,$6.34B,19.26
2005-12-31,$118.48B,$6.38B,18.56
2005-09-30,$115.82B,$6.28B,18.43
2005-06-30,$112.59B,$6.36B,17.69
2005-03-31,$110.31B,$6.04B,18.25
