Date,EBITDA
2020-12-31,"$-1,452"
2020-09-30,"$2,115"
2020-06-30,$-88
2020-03-31,$91
2019-12-31,"$-1,008"
2019-09-30,"$1,407"
2019-06-30,$484
2019-03-31,$331
2018-12-31,$528
2018-09-30,$601
2018-06-30,$519
2018-03-31,$526
2017-12-31,$-326
2017-09-30,$573
2017-06-30,$592
2017-03-31,$521
2016-12-31,$308
2016-09-30,$660
2016-06-30,$463
2016-03-31,$285
2015-12-31,$400
2015-09-30,$317
2015-06-30,$499
2015-03-31,$412
2014-12-31,$479
2014-09-30,$650
2014-06-30,$586
2014-03-31,$475
2013-12-31,$517
2013-09-30,$490
2013-06-30,$465
2013-03-31,$350
2012-12-31,$451
2012-09-30,$467
2012-06-30,$492
2012-03-31,$357
2011-12-31,$-438
2011-09-30,$215
2011-06-30,$463
2011-03-31,$482
2010-12-31,$215
2010-09-30,$359
2010-06-30,$380
2010-03-31,$397
2009-12-31,$181
2009-09-30,$111
2009-06-30,$-10
2009-03-31,$-682
2008-12-31,$-804
2008-09-30,$171
2008-06-30,$226
2008-03-31,$475
2007-12-31,"$2,641"
2007-09-30,$482
2007-06-30,$574
2007-03-31,$613
2006-12-31,"$2,639"
2006-09-30,$553
2006-06-30,$597
2006-03-31,$332
2005-12-31,"$1,843"
2005-09-30,$318
2005-06-30,$254
2005-03-31,$274
