Lincoln National Price/Book Ratio Historical Data,Lincoln National Price/Book Ratio Historical Data,Lincoln National Price/Book Ratio Historical Data,Lincoln National Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,62.7,,0.53
2020-12-31,49.57,$118.02,0.42
2020-09-30,30.53,$111.51,0.27
2020-06-30,35.41,$107.28,0.33
2020-03-31,25.04,$85.79,0.29
2019-12-31,55.77,$100.11,0.56
2019-09-30,56.63,$100.84,0.56
2019-06-30,60.16,$91.92,0.65
2019-03-31,54.47,$80.88,0.67
2018-12-31,47.29,$69.71,0.68
2018-09-30,62.07,$70.17,0.88
2018-06-30,56.82,$69.85,0.81
2018-03-31,66.36,$73.09,0.91
2017-12-31,69.54,$79.43,0.88
2017-09-30,66.22,$74.31,0.89
2017-06-30,60.65,$71.98,0.84
2017-03-31,58.48,$66.58,0.88
2016-12-31,58.96,$63.97,0.92
2016-09-30,41.59,$71.43,0.58
2016-06-30,34.09,$68.39,0.5
2016-03-31,34.24,$61.33,0.56
2015-12-31,43.66,$55.84,0.78
2015-09-30,41.06,$58.19,0.71
2015-06-30,51.05,$58.58,0.87
2015-03-31,49.36,$64.14,0.77
2014-12-31,49.37,$61.35,0.8
2014-09-30,45.72,$59.48,0.77
2014-06-30,43.76,$59.24,0.74
2014-03-31,42.96,$54.94,0.78
2013-12-31,43.64,$51.17,0.85
2013-09-30,35.39,$51.04,0.69
2013-06-30,30.65,$50.38,0.61
2013-03-31,27.3,$55.36,0.49
2012-12-31,21.58,$55.17,0.39
2012-09-30,20.09,$55.39,0.36
2012-06-30,18.1,$50.80,0.36
2012-03-31,21.74,$46.46,0.47
2011-12-31,15.96,$44.97,0.35
2011-09-30,12.8,$49.46,0.26
2011-06-30,23.29,$44.06,0.53
2011-03-31,24.52,$41.76,0.59
2010-12-31,22.66,$40.56,0.56
2010-09-30,19.48,$42.81,0.46
2010-06-30,19.78,$39.91,0.5
2010-03-31,24.99,$40.89,0.61
2009-12-31,20.24,$38.71,0.52
2009-09-30,21.07,$38.59,0.55
2009-06-30,13.99,$30.04,0.47
2009-03-31,5.43,$28.60,0.19
2008-12-31,15.14,$31.18,0.49
2008-09-30,33.9,$37.13,0.91
2008-06-30,35.58,$40.88,0.87
2008-03-31,40.51,$42.77,0.95
2007-12-31,45.01,$44.35,1.01
2007-09-30,50.71,$44.45,1.14
2007-06-30,54.23,$43.60,1.24
2007-03-31,51.52,$44.45,1.16
2006-12-31,50.15,$44.25,1.13
2006-09-30,46.61,$43.42,1.07
2006-06-30,42.09,$40.51,1.04
2006-03-31,40.44,$36.04,1.12
