Main Street Capital Debt/Equity Ratio Historical Data,Main Street Capital Debt/Equity Ratio Historical Data,Main Street Capital Debt/Equity Ratio Historical Data,Main Street Capital Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$1.26B,$1.52B,0.83
2020-09-30,$1.23B,$1.42B,0.87
2020-06-30,$1.18B,$1.37B,0.86
2020-03-31,$1.14B,$1.34B,0.85
2019-12-31,$1.18B,$1.54B,0.77
2019-09-30,$1.13B,$1.53B,0.74
2019-06-30,$1.11B,$1.52B,0.73
2019-03-31,$1.07B,$1.52B,0.7
2018-12-31,$1.08B,$1.48B,0.73
2018-09-30,$1.02B,$1.51B,0.68
2018-06-30,$1.01B,$1.45B,0.7
2018-03-31,$1.01B,$1.40B,0.72
2017-12-31,$0.89B,$1.38B,0.64
2017-09-30,$0.94B,$1.33B,0.71
2017-06-30,$0.88B,$1.28B,0.69
2017-03-31,$0.83B,$1.24B,0.67
2016-12-31,$0.87B,$1.20B,0.73
2016-09-30,$0.86B,$1.14B,0.75
2016-06-30,$0.89B,$1.10B,0.81
2016-03-31,$0.82B,$1.08B,0.77
2015-12-31,$0.81B,$1.07B,0.76
2015-09-30,$0.86B,$1.09B,0.79
2015-06-30,$0.80B,$1.09B,0.73
2015-03-31,$0.75B,$1.08B,0.69
2014-12-31,$0.75B,$0.94B,0.8
2014-09-30,$0.63B,$0.95B,0.67
2014-06-30,$0.61B,$0.94B,0.64
2014-03-31,$0.57B,$0.80B,0.71
2013-12-31,$0.57B,$0.79B,0.72
2013-09-30,$0.45B,$0.79B,0.56
2013-06-30,$0.57B,$0.66B,0.87
2013-03-31,$0.38B,$0.65B,0.59
2012-12-31,$0.39B,$0.64B,0.61
2012-09-30,$0.32B,$0.55B,0.58
2012-06-30,$0.31B,$0.53B,0.58
2012-03-31,$0.35B,$0.43B,0.83
2011-12-31,$0.33B,$0.41B,0.79
2011-09-30,$0.33B,$0.34B,0.95
2011-06-30,$0.28B,$0.34B,0.85
2011-03-31,$0.21B,$0.32B,0.64
2010-12-31,$0.20B,$0.25B,0.8
2010-09-30,$0.18B,$0.24B,0.73
2010-06-30,$0.15B,$0.19B,0.77
2010-03-31,$0.12B,$0.18B,0.67
2009-12-31,$0.07B,$0.13B,0.52
2009-09-30,$0.06B,$0.13B,0.49
2009-06-30,$0.06B,$0.13B,0.47
2009-03-31,$0.06B,$0.11B,0.54
2008-12-31,$0.06B,$0.11B,0.52
2008-09-30,$0.06B,$0.12B,0.49
2008-06-30,$0.06B,$0.12B,0.49
2008-03-31,$0.08B,$0.12B,0.73
2007-12-31,$0.06B,$0.12B,0.52
2007-09-30,$0.06B,$0.04B,1.32
2007-06-30,$0.00B,,0.0
2007-03-31,$0.00B,,0.0
2006-09-30,$0.00B,,0.0
