Date,EBIT
2020-12-31,$52
2020-09-30,$43
2020-06-30,$43
2020-03-31,$49
2019-12-31,$52
2019-09-30,$52
2019-06-30,$52
2019-03-31,$51
2018-12-31,$54
2018-09-30,$49
2018-06-30,$50
2018-03-31,$47
2017-12-31,$47
2017-09-30,$43
2017-06-30,$41
2017-03-31,$40
2016-12-31,$39
2016-09-30,$39
2016-06-30,$36
2016-03-31,$35
2015-12-31,$37
2015-09-30,$36
2015-06-30,$35
2015-03-31,$31
2014-12-31,$33
2014-09-30,$31
2014-06-30,$29
2014-03-31,$26
2013-12-31,$28
2013-09-30,$23
2013-06-30,$23
2013-03-31,$21
2012-12-31,$22
2012-09-30,$19
2012-06-30,$17
2012-03-31,$17
2011-12-31,$16
2011-09-30,$14
2011-06-30,$13
2011-03-31,$10
2010-12-31,$9
2010-09-30,$7
2010-06-30,$7
2010-03-31,$5
2009-12-31,$3
2009-09-30,$4
2009-06-30,$3
2009-03-31,$3
2008-12-31,$4
2008-09-30,$3
2008-06-30,$4
2008-03-31,$3
2007-12-31,$3
2007-09-30,$3
2007-06-30,$2
2007-03-31,$2
2006-09-30,$2
