Date,EPS
2020-12-31,$1.27
2020-09-30,$1.18
2020-06-30,$0.66
2020-03-31,$-2.66
2019-12-31,$0.24
2019-09-30,$0.54
2019-06-30,$0.61
2019-03-31,$0.67
2018-12-31,$0.15
2018-09-30,$1.13
2018-06-30,$0.93
2018-03-31,$0.59
2017-12-31,$1.07
2017-09-30,$0.61
2017-06-30,$0.76
2017-03-31,$0.57
2016-12-31,$0.92
2016-09-30,$0.82
2016-06-30,$0.60
2016-03-31,$0.33
2015-12-31,$0.13
2015-09-30,$0.41
2015-06-30,$0.82
2015-03-31,$0.77
2014-12-31,$0.47
2014-09-30,$0.48
2014-06-30,$0.68
2014-03-31,$0.68
2013-12-31,$0.52
2013-09-30,$0.76
2013-06-30,$0.69
2013-03-31,$0.68
2012-12-31,$0.75
2012-09-30,$1.01
2012-06-30,$0.88
2012-03-31,$0.89
2011-12-31,$0.83
2011-09-30,$0.62
2011-06-30,$0.77
2011-03-31,$0.54
2010-12-31,$0.51
2010-09-30,$0.65
2010-06-30,$0.59
2010-03-31,$0.63
2009-12-31,$0.33
2009-09-30,$0.66
2009-06-30,$0.25
2009-03-31,$-0.05
2008-12-31,$-0.19
2008-09-30,$0.74
2008-06-30,$0.30
2008-03-31,$0.35
2007-12-31,$0.53
2007-09-30,$0.46
2007-06-30,$0.10
2007-03-31,$0.22
2006-09-30,$0.00
