Date,Shares
2020-12-31,66.0
2020-09-30,66.0
2020-06-30,65.0
2020-03-31,65.0
2019-12-31,63.0
2019-09-30,63.0
2019-06-30,63.0
2019-03-31,62.0
2018-12-31,60.0
2018-09-30,61.0
2018-06-30,60.0
2018-03-31,59.0
2017-12-31,57.0
2017-09-30,57.0
2017-06-30,56.0
2017-03-31,55.0
2016-12-31,52.0
2016-09-30,53.0
2016-06-30,51.0
2016-03-31,51.0
2015-12-31,49.0
2015-09-30,50.0
2015-06-30,50.0
2015-03-31,46.0
2014-12-31,44.0
2014-09-30,45.0
2014-06-30,44.0
2014-03-31,40.0
2013-12-31,37.0
2013-09-30,37.0
2013-06-30,35.0
2013-03-31,35.0
2012-12-31,30.0
2012-09-30,32.0
2012-06-30,27.0
2012-03-31,27.0
2011-12-31,23.0
2011-09-30,23.0
2011-06-30,23.0
2011-03-31,19.0
2010-12-31,16.0
2010-09-30,17.0
2010-06-30,15.0
2010-03-31,14.0
2009-12-31,10.0
2009-09-30,11.0
2009-06-30,10.0
2009-03-31,9.0
2008-12-31,9.0
2008-09-30,9.0
2008-06-30,9.0
2008-03-31,9.0
2007-12-31,9.0
2007-09-30,9.0
2007-06-30,9.0
2007-03-31,9.0
2006-09-30,
