Date,EPS
2020-12-31,$0.17
2020-09-30,$0.69
2020-06-30,$0.07
2020-03-31,$4.75
2019-12-31,$0.59
2019-09-30,$2.30
2019-06-30,$1.77
2019-03-31,$1.40
2018-12-31,$2.01
2018-09-30,$0.88
2018-06-30,$0.83
2018-03-31,$1.19
2017-12-31,$2.12
2017-09-30,$-0.09
2017-06-30,$0.80
2017-03-31,$0.79
2016-12-31,$-1.88
2016-09-30,$0.51
2016-06-30,$0.06
2016-03-31,$1.98
2015-12-31,$0.77
2015-09-30,$1.06
2015-06-30,$0.92
2015-03-31,$1.87
2014-12-31,$1.30
2014-09-30,$1.81
2014-06-30,$1.17
2014-03-31,$1.14
2013-12-31,$0.77
2013-09-30,$0.84
2013-06-30,$0.43
2013-03-31,$0.87
2012-12-31,$0.08
2012-09-30,$-0.92
2012-06-30,$2.12
2012-03-31,$-0.16
2011-12-31,$0.89
2011-09-30,$3.21
2011-06-30,$1.00
2011-03-31,$0.66
2010-12-31,$-0.26
2010-09-30,$0.32
2010-06-30,$1.84
2010-03-31,$0.96
2009-12-31,$0.35
2009-09-30,$-0.79
2009-06-30,$-1.74
2009-03-31,$-0.71
2008-12-31,$1.21
2008-09-30,$0.83
2008-06-30,$1.26
2008-03-31,$0.84
2007-12-31,$1.43
2007-09-30,$1.29
2007-06-30,$1.48
2007-03-31,$1.28
2006-12-31,$4.97
2006-09-30,$1.29
2006-06-30,$0.80
2006-03-31,$0.93
2005-12-31,$0.84
2005-09-30,$0.97
2005-06-30,$3.02
2005-03-31,$1.33
